onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	0.644	L	Shapes
5.02	1.054	n/a	n/a	ITI
6.074	2.008	0.902	R	Shapes
8.082	1.054	n/a	n/a	ITI
9.136	2.008	0.801	R	Shapes
11.144	1.054	n/a	n/a	ITI
12.198	2.008	0.617	L	Shapes
14.206	1.054	n/a	n/a	ITI
15.26	2.008	1.067	R	Shapes
17.268	1.055	n/a	n/a	ITI
18.323	2.008	0.628	R	Shapes
20.331	3.011	n/a	n/a	CueFaces
23.342	2.008	0.713	L	Faces
25.35	1.021	n/a	n/a	ITI
26.371	2.008	0.796	L	Faces
28.379	1.021	n/a	n/a	ITI
29.4	2.008	0.895	R	Faces
31.408	1.02	n/a	n/a	ITI
32.428	2.008	0.763	L	Faces
34.436	1.021	n/a	n/a	ITI
35.457	2.008	0.645	R	Faces
37.465	1.021	n/a	n/a	ITI
38.486	2.008	1.016	R	Faces
40.494	3.011	n/a	n/a	CueShapes
43.505	2.008	0.765	L	Shapes
45.513	1.071	n/a	n/a	ITI
46.584	2.008	0.622	L	Shapes
48.592	1.054	n/a	n/a	ITI
49.646	2.008	0.68	L	Shapes
51.654	1.088	n/a	n/a	ITI
52.742	2.008	0.728	R	Shapes
54.75	1.054	n/a	n/a	ITI
55.804	2.008	0.57	L	Shapes
57.812	1.054	n/a	n/a	ITI
58.866	2.008	0.707	R	Shapes
60.874	3.012	n/a	n/a	CueFaces
63.886	2.008	0.847	R	Faces
65.894	1.071	n/a	n/a	ITI
66.965	2.008	0.824	L	Faces
68.973	1.071	n/a	n/a	ITI
70.044	2.008	1.065	R	Faces
72.052	1.071	n/a	n/a	ITI
73.123	2.008	1.018	L	Faces
75.131	1.055	n/a	n/a	ITI
76.186	2.008	0.7	R	Faces
78.194	1.054	n/a	n/a	ITI
79.248	2.008	0.702	L	Faces
81.256	3.012	n/a	n/a	CueShapes
84.268	2.007	0.665	R	Shapes
86.275	1.071	n/a	n/a	ITI
87.346	2.008	0.587	L	Shapes
89.354	1.105	n/a	n/a	ITI
90.459	2.008	0.65	R	Shapes
92.467	1.071	n/a	n/a	ITI
93.538	2.008	0.619	R	Shapes
95.546	1.088	n/a	n/a	ITI
96.634	2.008	0.516	R	Shapes
98.642	1.054	n/a	n/a	ITI
99.696	2.008	0.486	L	Shapes
101.704	3.012	n/a	n/a	CueFaces
104.716	2.008	0.834	R	Faces
106.724	1.071	n/a	n/a	ITI
107.795	2.008	0.834	R	Faces
109.803	1.054	n/a	n/a	ITI
110.857	2.008	1.004	R	Faces
112.865	1.054	n/a	n/a	ITI
113.919	2.008	0.806	L	Faces
115.927	1.037	n/a	n/a	ITI
116.964	2.008	0.705	L	Faces
118.972	1.038	n/a	n/a	ITI
120.01	2.008	0.747	L	Faces
122.018	3.012	n/a	n/a	CueShapes
125.03	2.008	0.703	R	Shapes
127.038	1.087	n/a	n/a	ITI
128.125	2.008	0.6	L	Shapes
130.133	1.088	n/a	n/a	ITI
131.221	2.008	0.671	L	Shapes
133.229	1.087	n/a	n/a	ITI
134.316	2.008	0.584	L	Shapes
136.324	1.088	n/a	n/a	ITI
137.412	2.008	0.576	L	Shapes
139.42	1.054	n/a	n/a	ITI
140.474	2.008	0.57	L	Shapes
142.482	3.012	n/a	n/a	CueFaces
145.494	2.008	0.774	L	Faces
147.502	1.071	n/a	n/a	ITI
148.573	2.008	1.015	R	Faces
