onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	1.414	R	Shapes
5.02	1.054	n/a	n/a	ITI
6.074	2.008	1.447	R	Shapes
8.082	1.054	n/a	n/a	ITI
9.136	2.008	1.121	R	Shapes
11.144	1.055	n/a	n/a	ITI
12.199	2.008	0.882	L	Shapes
14.207	1.055	n/a	n/a	ITI
15.262	2.008	1.156	R	Shapes
17.27	1.054	n/a	n/a	ITI
18.324	2.008	0.926	R	Shapes
20.332	3.012	n/a	n/a	CueFaces
23.344	2.008	0.906	L	Faces
25.352	1.021	n/a	n/a	ITI
26.373	2.008	1.149	L	Faces
28.381	1.02	n/a	n/a	ITI
29.401	2.008	0.881	R	Faces
31.409	1.021	n/a	n/a	ITI
32.43	2.008	0.908	L	Faces
34.438	1.021	n/a	n/a	ITI
35.459	2.008	0.807	R	Faces
37.467	1.02	n/a	n/a	ITI
38.487	2.008	1.043	R	Faces
40.495	3.012	n/a	n/a	CueShapes
43.507	2.008	1.071	L	Shapes
45.515	1.055	n/a	n/a	ITI
46.57	2.008	0.792	L	Shapes
48.578	1.055	n/a	n/a	ITI
49.633	2.008	0.826	L	Shapes
51.641	1.054	n/a	n/a	ITI
52.695	2.008	0.78	R	Shapes
54.703	1.054	n/a	n/a	ITI
55.757	2.008	0.79	L	Shapes
57.765	1.054	n/a	n/a	ITI
58.819	2.008	0.808	R	Shapes
60.827	3.012	n/a	n/a	CueFaces
63.839	2.008	0.923	R	Faces
65.847	1.021	n/a	n/a	ITI
66.868	2.008	0.806	L	Faces
68.876	1.021	n/a	n/a	ITI
69.897	2.008	0.777	R	Faces
71.905	1.02	n/a	n/a	ITI
72.925	2.008	0.677	L	Faces
74.933	1.021	n/a	n/a	ITI
75.954	2.008	0.776	R	Faces
77.962	1.021	n/a	n/a	ITI
78.983	2.008	0.795	L	Faces
80.991	3.012	n/a	n/a	CueShapes
84.003	2.008	0.695	R	Shapes
86.011	1.054	n/a	n/a	ITI
87.065	2.008	0.705	R	Shapes
89.073	1.054	n/a	n/a	ITI
90.127	2.008	0.875	R	Shapes
92.135	1.054	n/a	n/a	ITI
93.189	2.008	1.013	R	Shapes
95.197	1.054	n/a	n/a	ITI
96.251	2.008	1.055	R	Shapes
98.259	1.055	n/a	n/a	ITI
99.314	2.008	0.896	L	Shapes
101.322	3.012	n/a	n/a	CueFaces
104.334	2.008	1.26	R	Faces
106.342	1.02	n/a	n/a	ITI
107.362	2.008	1.408	R	Faces
109.37	1.021	n/a	n/a	ITI
110.391	2.008	1.203	R	Faces
112.399	1.021	n/a	n/a	ITI
113.42	2.008	0.91	L	Faces
115.428	1.02	n/a	n/a	ITI
116.448	2.008	1.034	L	Faces
118.456	1.021	n/a	n/a	ITI
119.477	2.008	1.141	L	Faces
121.485	3.012	n/a	n/a	CueShapes
124.497	2.008	0.776	R	Shapes
126.505	1.071	n/a	n/a	ITI
127.576	2.008	0.849	L	Shapes
129.584	1.054	n/a	n/a	ITI
130.638	2.008	1.035	L	Shapes
132.646	1.054	n/a	n/a	ITI
133.7	2.008	0.765	L	Shapes
135.708	1.055	n/a	n/a	ITI
136.763	2.008	0.91	L	Shapes
138.771	1.055	n/a	n/a	ITI
139.826	2.008	0.912	L	Shapes
141.834	3.012	n/a	n/a	CueFaces
144.846	2.008	0.852	L	Faces
