onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	1.111	R	Shapes
5.02	1.054	n/a	n/a	ITI
6.074	2.008	0.913	R	Shapes
8.082	1.054	n/a	n/a	ITI
9.136	2.008	0.723	R	Shapes
11.144	1.054	n/a	n/a	ITI
12.198	2.008	0.749	L	Shapes
14.206	1.054	n/a	n/a	ITI
15.26	2.008	0.903	R	Shapes
17.268	1.055	n/a	n/a	ITI
18.323	2.008	0.68	R	Shapes
20.331	3.012	n/a	n/a	CueFaces
23.343	2.008	0.781	L	Faces
25.351	1.021	n/a	n/a	ITI
26.372	2.008	0.784	L	Faces
28.38	1.021	n/a	n/a	ITI
29.401	2.008	0.675	R	Faces
31.409	1.021	n/a	n/a	ITI
32.43	2.008	0.797	L	Faces
34.438	1.021	n/a	n/a	ITI
35.459	2.008	0.64	R	Faces
37.467	1.021	n/a	n/a	ITI
38.488	2.008	1.1	R	Faces
40.496	3.012	n/a	n/a	CueShapes
43.508	2.008	0.6	L	Shapes
45.516	1.054	n/a	n/a	ITI
46.57	2.008	0.626	L	Shapes
48.578	1.054	n/a	n/a	ITI
49.632	2.008	0.756	L	Shapes
51.64	1.054	n/a	n/a	ITI
52.694	2.008	0.598	R	Shapes
54.702	1.055	n/a	n/a	ITI
55.757	2.008	0.623	L	Shapes
57.765	1.054	n/a	n/a	ITI
58.819	2.008	0.769	R	Shapes
60.827	3.012	n/a	n/a	CueFaces
63.839	2.008	0.893	R	Faces
65.847	1.02	n/a	n/a	ITI
66.867	2.008	1.129	L	Faces
68.875	1.021	n/a	n/a	ITI
69.896	2.008	0.804	R	Faces
71.904	1.021	n/a	n/a	ITI
72.925	2.008	0.975	L	Faces
74.933	1.02	n/a	n/a	ITI
75.953	2.008	0.691	R	Faces
77.961	1.021	n/a	n/a	ITI
78.982	2.008	0.957	L	Faces
80.99	3.012	n/a	n/a	CueShapes
84.002	2.008	0.889	R	Shapes
86.01	1.054	n/a	n/a	ITI
87.064	2.008	0.619	L	Shapes
89.072	1.054	n/a	n/a	ITI
90.126	2.008	0.525	R	Shapes
92.134	1.055	n/a	n/a	ITI
93.189	2.008	0.798	R	Shapes
95.197	1.054	n/a	n/a	ITI
96.251	2.008	0.528	R	Shapes
98.259	1.054	n/a	n/a	ITI
99.313	2.008	0.674	L	Shapes
101.321	3.012	n/a	n/a	CueFaces
104.333	2.008	0.878	R	Faces
106.341	1.021	n/a	n/a	ITI
107.362	2.008	0.609	R	Faces
109.37	1.02	n/a	n/a	ITI
110.39	2.008	0.709	R	Faces
112.398	1.021	n/a	n/a	ITI
113.419	2.008	0.808	L	Faces
115.427	1.021	n/a	n/a	ITI
116.448	2.008	0.667	L	Faces
118.456	1.02	n/a	n/a	ITI
119.476	2.008	0.887	L	Faces
121.484	3.012	n/a	n/a	CueShapes
124.496	2.008	0.522	R	Shapes
126.504	1.054	n/a	n/a	ITI
127.558	2.008	0.828	L	Shapes
129.566	1.055	n/a	n/a	ITI
130.621	2.008	0.709	L	Shapes
132.629	1.054	n/a	n/a	ITI
133.683	2.008	0.559	L	Shapes
135.691	1.054	n/a	n/a	ITI
136.745	2.008	0.561	L	Shapes
138.753	1.054	n/a	n/a	ITI
139.807	2.008	0.595	L	Shapes
141.815	3.012	n/a	n/a	CueFaces
144.827	2.008	0.663	L	Faces
146.835	1.037	n/a	n/a	ITI
147.872	2.008	0.698	R	Faces
149.88	1.021	n/a	n/a	ITI
150.901	2.008	0.685	L	Faces
152.909	1.021	n/a	n/a	ITI
153.93	2.008	0.688	R	Faces
155.938	1.021	n/a	n/a	ITI
156.959	2.008	0.835	L	Faces
158.967	1.02	n/a	n/a	ITI
159.987	2.008	0.631	R	Faces
161.995	3.012	n/a	n/a	CueShapes
165.007	2.008	0.651	L	Shapes
167.015	1.054	n/a	n/a	ITI
168.069	2.008	0.533	R	Shapes
170.077	1.055	n/a	n/a	ITI
171.132	2.008	0.677	R	Shapes
173.14	1.055	n/a	n/a	ITI
174.195	2.008	0.543	L	Shapes
176.203	1.054	n/a	n/a	ITI
177.257	2.008	0.481	R	Shapes
179.265	1.054	n/a	n/a	ITI
180.319	2.008	0.611	R	Shapes
182.327	3.012	n/a	n/a	CueFaces
185.339	2.008	0.575	R	Faces
187.347	1.021	n/a	n/a	ITI
188.368	2.008	0.81	R	Faces
190.376	1.02	n/a	n/a	ITI
191.396	2.008	0.638	R	Faces
193.404	1.021	n/a	n/a	ITI
194.425	2.008	0.577	L	Faces
196.433	1.021	n/a	n/a	ITI
197.454	2.008	0.788	L	Faces
199.462	1.02	n/a	n/a	ITI
200.482	2.008	0.896	L	Faces
202.49	3.012	n/a	n/a	CueShapes
205.502	2.008	0.604	L	Shapes
207.51	1.055	n/a	n/a	ITI
208.565	2.008	0.693	R	Shapes
210.573	1.054	n/a	n/a	ITI
211.627	2.008	0.551	L	Shapes
213.635	1.054	n/a	n/a	ITI
214.689	2.008	0.761	L	Shapes
216.697	1.054	n/a	n/a	ITI
217.751	2.008	0.706	R	Shapes
219.759	1.054	n/a	n/a	ITI
220.813	2.008	0.572	R	Shapes
222.821	3.012	n/a	n/a	CueFaces
225.833	2.008	0.752	R	Faces
227.841	1.021	n/a	n/a	ITI
228.862	2.008	0.611	R	Faces
230.87	1.021	n/a	n/a	ITI
231.891	2.008	0.646	L	Faces
233.899	1.02	n/a	n/a	ITI
234.919	2.008	0.642	R	Faces
236.927	1.021	n/a	n/a	ITI
237.948	2.008	0.573	L	Faces
239.956	1.021	n/a	n/a	ITI
240.977	2.008	0.688	L	Faces
242.985	3.012	n/a	n/a	CueShapes
245.997	2.008	0.62	L	Shapes
248.005	1.054	n/a	n/a	ITI
249.059	2.008	0.574	L	Shapes
251.067	1.054	n/a	n/a	ITI
252.121	2.008	0.728	R	Shapes
254.129	1.054	n/a	n/a	ITI
255.183	2.008	0.554	R	Shapes
257.191	1.054	n/a	n/a	ITI
258.245	2.008	0.628	R	Shapes
260.253	1.054	n/a	n/a	ITI
261.307	2.008	0.573	R	Shapes
263.315	3.012	n/a	n/a	CueFaces
266.327	2.008	0.609	R	Faces
268.335	1.021	n/a	n/a	ITI
269.356	2.008	0.636	L	Faces
271.364	1.037	n/a	n/a	ITI
272.401	2.008	0.655	L	Faces
274.409	1.021	n/a	n/a	ITI
275.43	2.008	0.666	R	Faces
277.438	1.021	n/a	n/a	ITI
278.459	2.008	0.605	L	Faces
280.467	1.021	n/a	n/a	ITI
281.488	2.008	0.648	R	Faces
283.496	3.012	n/a	n/a	CueShapes
286.508	2.007	0.636	L	Shapes
288.515	1.055	n/a	n/a	ITI
289.57	2.008	0.47	R	Shapes
291.578	1.054	n/a	n/a	ITI
292.632	2.008	0.808	R	Shapes
294.64	1.054	n/a	n/a	ITI
295.694	2.008	0.658	L	Shapes
297.702	1.054	n/a	n/a	ITI
298.756	2.008	0.572	L	Shapes
300.764	1.054	n/a	n/a	ITI
301.818	2.008	0.662	L	Shapes
303.826	3.012	n/a	n/a	CueFaces
306.838	2.008	0.594	R	Faces
308.846	1.021	n/a	n/a	ITI
309.867	2.008	0.773	R	Faces
311.875	1.021	n/a	n/a	ITI
312.896	2.008	0.671	L	Faces
314.904	1.02	n/a	n/a	ITI
315.924	2.008	0.691	L	Faces
317.932	1.038	n/a	n/a	ITI
318.97	2.008	0.741	L	Faces
320.978	1.021	n/a	n/a	ITI
321.999	2.008	0.752	L	Faces
324.007	3.012	n/a	n/a	CueShapes
327.019	2.008	0.821	R	Shapes
329.027	1.055	n/a	n/a	ITI
330.082	2.008	0.646	L	Shapes
332.09	1.054	n/a	n/a	ITI
333.144	2.008	0.616	R	Shapes
335.152	1.054	n/a	n/a	ITI
336.206	2.008	0.538	R	Shapes
338.214	1.054	n/a	n/a	ITI
339.268	2.008	0.548	L	Shapes
341.276	1.054	n/a	n/a	ITI
342.33	2.008	0.566	R	Shapes
344.338	3.012	n/a	n/a	CueFaces
347.35	2.008	0.658	R	Faces
349.358	1.021	n/a	n/a	ITI
350.379	2.008	0.749	R	Faces
352.387	1.021	n/a	n/a	ITI
353.408	2.008	0.608	L	Faces
355.416	1.02	n/a	n/a	ITI
356.436	2.008	0.571	L	Faces
358.444	1.038	n/a	n/a	ITI
359.482	2.008	0.845	R	Faces
361.49	1.02	n/a	n/a	ITI
362.51	2.008	0.561	L	Faces
364.518	3.012	n/a	n/a	CueShapes
367.53	2.008	0.725	L	Shapes
369.538	1.055	n/a	n/a	ITI
370.593	2.008	0.43	R	Shapes
372.601	1.054	n/a	n/a	ITI
373.655	2.008	0.633	R	Shapes
375.663	1.054	n/a	n/a	ITI
376.717	2.008	0.594	L	Shapes
378.725	1.054	n/a	n/a	ITI
379.779	2.008	0.596	L	Shapes
381.787	1.054	n/a	n/a	ITI
382.841	2.008	0.622	L	Shapes
384.849	3.012	n/a	n/a	CueFaces
387.861	2.008	0.682	L	Faces
389.869	1.021	n/a	n/a	ITI
390.89	2.008	0.597	R	Faces
392.898	1.021	n/a	n/a	ITI
393.919	2.008	0.544	R	Faces
395.927	1.02	n/a	n/a	ITI
396.947	2.008	0.612	R	Faces
398.955	1.021	n/a	n/a	ITI
399.976	2.008	0.567	L	Faces
401.984	1.021	n/a	n/a	ITI
403.005	2.008	0.594	L	Faces
405.013	3.012	n/a	n/a	CueShapes
408.025	2.008	0.653	L	Shapes
410.033	1.054	n/a	n/a	ITI
411.087	2.008	0.639	R	Shapes
413.095	1.054	n/a	n/a	ITI
414.149	2.008	0.537	R	Shapes
416.157	1.054	n/a	n/a	ITI
417.211	2.008	0.899	L	Shapes
419.219	1.054	n/a	n/a	ITI
420.273	2.008	0.637	L	Shapes
422.281	1.054	n/a	n/a	ITI
423.335	2.008	0.671	L	Shapes
