onset	duration	response_time	button_pressed	trial_type
0.0	3.011	n/a	n/a	CueShapes
3.011	2.008	1.164	R	Shapes
5.019	1.105	n/a	n/a	ITI
6.124	2.008	0.739	R	Shapes
8.132	1.071	n/a	n/a	ITI
9.203	2.008	0.676	R	Shapes
11.211	1.087	n/a	n/a	ITI
12.298	2.008	0.645	L	Shapes
14.306	1.055	n/a	n/a	ITI
15.361	2.008	0.702	R	Shapes
17.369	1.054	n/a	n/a	ITI
18.423	2.008	0.52	R	Shapes
20.431	3.012	n/a	n/a	CueFaces
23.443	2.008	0.756	L	Faces
25.451	1.054	n/a	n/a	ITI
26.505	2.008	0.606	L	Faces
28.513	1.021	n/a	n/a	ITI
29.534	2.008	0.624	R	Faces
31.542	1.038	n/a	n/a	ITI
32.58	2.008	0.523	L	Faces
34.588	1.071	n/a	n/a	ITI
35.659	2.008	0.5	R	Faces
37.667	1.087	n/a	n/a	ITI
38.754	2.008	0.629	R	Faces
40.762	3.012	n/a	n/a	CueShapes
43.774	2.008	0.953	L	Shapes
45.782	1.071	n/a	n/a	ITI
46.853	2.008	0.602	L	Shapes
48.861	1.054	n/a	n/a	ITI
49.915	2.008	0.596	R	Shapes
51.923	1.071	n/a	n/a	ITI
52.994	2.008	0.781	R	Shapes
55.002	1.088	n/a	n/a	ITI
56.09	2.008	0.669	L	Shapes
58.098	1.054	n/a	n/a	ITI
59.152	2.008	0.671	R	Shapes
61.16	3.012	n/a	n/a	CueFaces
64.172	2.008	0.803	R	Faces
66.18	1.054	n/a	n/a	ITI
67.234	2.008	0.925	L	Faces
69.242	1.088	n/a	n/a	ITI
70.33	2.008	0.789	R	Faces
72.338	1.054	n/a	n/a	ITI
73.392	2.008	0.79	L	Faces
75.4	1.055	n/a	n/a	ITI
76.455	2.008	0.623	R	Faces
78.463	1.054	n/a	n/a	ITI
79.517	2.008	0.634	L	Faces
81.525	3.012	n/a	n/a	CueShapes
84.537	2.008	0.598	R	Shapes
86.545	1.071	n/a	n/a	ITI
87.616	2.008	0.623	L	Shapes
89.624	1.088	n/a	n/a	ITI
90.712	2.008	0.511	R	Shapes
92.72	1.054	n/a	n/a	ITI
93.774	2.008	0.481	R	Shapes
95.782	1.088	n/a	n/a	ITI
96.87	2.008	0.657	R	Shapes
98.878	1.104	n/a	n/a	ITI
99.982	2.008	0.729	L	Shapes
101.99	3.012	n/a	n/a	CueFaces
105.002	2.008	0.669	L	Faces
107.01	1.071	n/a	n/a	ITI
108.081	2.008	0.79	R	Faces
110.089	1.088	n/a	n/a	ITI
111.177	2.008	0.606	R	Faces
113.185	1.088	n/a	n/a	ITI
114.273	2.008	0.695	L	Faces
