onset	duration	response_time	button_pressed	trial_type
0.0	3.011	n/a	n/a	CueShapes
3.011	2.008	0.917	R	Shapes
5.019	1.054	n/a	n/a	ITI
6.073	2.008	1.047	R	Shapes
8.081	1.055	n/a	n/a	ITI
9.136	2.008	0.792	R	Shapes
11.144	1.054	n/a	n/a	ITI
12.198	2.008	0.685	L	Shapes
14.206	1.054	n/a	n/a	ITI
15.26	2.008	0.788	R	Shapes
17.268	1.054	n/a	n/a	ITI
18.322	2.008	0.622	R	Shapes
20.33	3.012	n/a	n/a	CueFaces
23.342	2.008	1.026	L	Faces
25.35	1.021	n/a	n/a	ITI
26.371	2.008	0.877	L	Faces
28.379	1.02	n/a	n/a	ITI
29.399	2.008	0.841	R	Faces
31.407	1.021	n/a	n/a	ITI
32.428	2.008	0.844	L	Faces
34.436	1.021	n/a	n/a	ITI
35.457	2.008	0.886	R	Faces
37.465	1.02	n/a	n/a	ITI
38.485	2.008	0.85	R	Faces
40.493	3.012	n/a	n/a	CueShapes
43.505	2.008	0.814	R	Shapes
45.513	1.054	n/a	n/a	ITI
46.567	2.008	0.776	L	Shapes
48.575	1.055	n/a	n/a	ITI
49.63	2.008	0.945	L	Shapes
51.638	1.055	n/a	n/a	ITI
52.693	2.008	0.747	R	Shapes
54.701	1.054	n/a	n/a	ITI
55.755	2.008	0.661	L	Shapes
57.763	1.054	n/a	n/a	ITI
58.817	2.008	0.655	R	Shapes
60.825	3.012	n/a	n/a	CueFaces
63.837	2.008	0.915	R	Faces
65.845	1.021	n/a	n/a	ITI
66.866	2.008	1.342	L	Faces
68.874	1.021	n/a	n/a	ITI
69.895	2.008	1.226	R	Faces
71.903	1.021	n/a	n/a	ITI
72.924	2.008	0.748	L	Faces
74.932	1.021	n/a	n/a	ITI
75.953	2.008	0.703	R	Faces
77.961	1.021	n/a	n/a	ITI
78.982	2.008	0.579	L	Faces
80.99	3.012	n/a	n/a	CueShapes
84.002	2.008	0.847	R	Shapes
86.01	1.054	n/a	n/a	ITI
87.064	2.008	0.881	L	Shapes
89.072	1.054	n/a	n/a	ITI
90.126	2.008	0.587	R	Shapes
92.134	1.055	n/a	n/a	ITI
93.189	2.008	0.548	R	Shapes
95.197	1.055	n/a	n/a	ITI
96.252	2.008	0.702	R	Shapes
98.26	1.054	n/a	n/a	ITI
99.314	2.008	0.712	L	Shapes
101.322	3.012	n/a	n/a	CueFaces
104.334	2.008	1.363	R	Faces
106.342	1.037	n/a	n/a	ITI
107.379	2.008	1.286	R	Faces
109.387	1.021	n/a	n/a	ITI
110.408	2.008	0.657	R	Faces
112.416	1.02	n/a	n/a	ITI
113.436	2.008	1.069	L	Faces
115.444	1.021	n/a	n/a	ITI
116.465	2.008	0.856	L	Faces
118.473	1.021	n/a	n/a	ITI
119.494	2.008	0.787	L	Faces
121.502	3.012	n/a	n/a	CueShapes
124.514	2.008	0.759	R	Shapes
126.522	1.054	n/a	n/a	ITI
127.576	2.008	0.505	L	Shapes
129.584	1.071	n/a	n/a	ITI
130.655	2.008	0.618	L	Shapes
132.663	1.054	n/a	n/a	ITI
133.717	2.008	0.54	L	Shapes
135.725	1.054	n/a	n/a	ITI
136.779	2.008	0.494	L	Shapes
138.787	1.054	n/a	n/a	ITI
139.841	2.008	0.639	L	Shapes
141.849	3.012	n/a	n/a	CueFaces
144.861	2.008	0.707	L	Faces
146.869	1.021	n/a	n/a	ITI
147.89	2.008	0.966	R	Faces
149.898	1.02	n/a	n/a	ITI
150.918	2.008	0.794	L	Faces
152.926	1.021	n/a	n/a	ITI
153.947	2.008	0.709	R	Faces
155.955	1.021	n/a	n/a	ITI
156.976	2.008	0.856	L	Faces
158.984	1.02	n/a	n/a	ITI
160.004	2.008	0.876	R	Faces
162.012	3.012	n/a	n/a	CueShapes
165.024	2.008	0.792	L	Shapes
167.032	1.054	n/a	n/a	ITI
168.086	2.008	0.658	R	Shapes
170.094	1.055	n/a	n/a	ITI
171.149	2.008	0.723	L	Shapes
173.157	1.054	n/a	n/a	ITI
174.211	2.008	1.084	L	Shapes
176.219	1.054	n/a	n/a	ITI
177.273	2.008	0.91	R	Shapes
179.281	1.054	n/a	n/a	ITI
180.335	2.008	0.768	R	Shapes
182.343	3.012	n/a	n/a	CueFaces
185.355	2.008	1.332	R	Faces
187.363	1.021	n/a	n/a	ITI
188.384	2.008	0.991	R	Faces
190.392	1.02	n/a	n/a	ITI
191.412	2.008	0.971	R	Faces
193.42	1.021	n/a	n/a	ITI
194.441	2.008	0.806	L	Faces
196.449	1.021	n/a	n/a	ITI
197.47	2.008	0.801	L	Faces
199.478	1.02	n/a	n/a	ITI
200.498	2.008	0.933	L	Faces
202.506	3.012	n/a	n/a	CueShapes
205.518	2.008	0.641	L	Shapes
207.526	1.054	n/a	n/a	ITI
208.58	2.008	0.562	R	Shapes
210.588	1.055	n/a	n/a	ITI
211.643	2.008	0.827	L	Shapes
213.651	1.055	n/a	n/a	ITI
214.706	2.008	0.837	L	Shapes
216.714	1.054	n/a	n/a	ITI
217.768	2.008	0.679	R	Shapes
219.776	1.054	n/a	n/a	ITI
220.83	2.008	0.633	R	Shapes
222.838	3.012	n/a	n/a	CueFaces
225.85	2.008	1.573	R	Faces
227.858	1.037	n/a	n/a	ITI
228.895	2.008	0.872	R	Faces
230.903	1.021	n/a	n/a	ITI
231.924	2.008	0.787	L	Faces
233.932	1.021	n/a	n/a	ITI
234.953	2.008	0.534	R	Faces
236.961	1.02	n/a	n/a	ITI
237.981	2.008	0.666	L	Faces
239.989	1.021	n/a	n/a	ITI
241.01	2.008	0.613	L	Faces
243.018	3.012	n/a	n/a	CueShapes
246.03	2.008	0.472	L	Shapes
248.038	1.054	n/a	n/a	ITI
249.092	2.008	0.746	L	Shapes
251.1	1.054	n/a	n/a	ITI
252.154	2.008	0.492	L	Shapes
