onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	1.85	R	Shapes
5.02	1.087	n/a	n/a	ITI
6.107	2.008	n/a	n/a	Shapes
8.115	1.055	0.171	R	ITI
9.17	2.008	0.868	R	Shapes
11.178	1.055	n/a	n/a	ITI
12.233	2.008	0.926	L	Shapes
14.241	1.104	n/a	n/a	ITI
15.345	2.008	0.933	R	Shapes
17.353	1.054	n/a	n/a	ITI
18.407	2.008	0.719	R	Shapes
20.415	3.012	n/a	n/a	CueFaces
23.427	2.008	0.819	L	Faces
25.435	1.071	n/a	n/a	ITI
26.506	2.008	0.876	L	Faces
28.514	1.037	n/a	n/a	ITI
29.551	2.008	0.943	R	Faces
31.559	1.021	n/a	n/a	ITI
32.58	2.008	0.834	L	Faces
34.588	1.021	n/a	n/a	ITI
35.609	2.008	0.733	R	Faces
37.617	1.02	n/a	n/a	ITI
38.637	2.008	1.193	R	Faces
40.645	3.012	n/a	n/a	CueShapes
43.657	2.008	0.773	L	Shapes
45.665	1.054	n/a	n/a	ITI
46.719	2.008	0.822	L	Shapes
48.727	1.054	n/a	n/a	ITI
49.781	2.008	0.784	L	Shapes
51.789	1.088	n/a	n/a	ITI
52.877	2.008	0.752	R	Shapes
54.885	1.054	n/a	n/a	ITI
55.939	2.008	0.786	L	Shapes
57.947	1.054	n/a	n/a	ITI
59.001	2.008	0.852	R	Shapes
61.009	3.012	n/a	n/a	CueFaces
64.021	2.008	1.04	R	Faces
66.029	1.054	n/a	n/a	ITI
67.083	2.008	1.042	L	Faces
69.091	1.054	n/a	n/a	ITI
70.145	2.008	1.5	R	Faces
72.153	1.071	n/a	n/a	ITI
73.224	2.008	0.941	L	Faces
75.232	1.038	n/a	n/a	ITI
76.27	2.008	1.07	R	Faces
78.278	1.087	n/a	n/a	ITI
79.365	2.008	1.167	L	Faces
81.373	3.012	n/a	n/a	CueShapes
84.385	2.008	0.611	R	Shapes
86.393	1.088	n/a	n/a	ITI
87.481	2.008	0.995	L	Shapes
89.489	1.087	n/a	n/a	ITI
90.576	2.008	0.74	R	Shapes
92.584	1.088	n/a	n/a	ITI
93.672	2.008	0.828	R	Shapes
95.68	1.087	n/a	n/a	ITI
96.767	2.008	0.685	R	Shapes
98.775	1.088	n/a	n/a	ITI
99.863	2.008	1.213	L	Shapes
101.871	3.012	n/a	n/a	CueFaces
104.883	2.008	1.081	R	Faces
106.891	1.054	n/a	n/a	ITI
107.945	2.008	0.946	R	Faces
109.953	1.071	n/a	n/a	ITI
111.024	2.008	1.035	R	Faces
113.032	1.071	n/a	n/a	ITI
114.103	2.008	0.916	L	Faces
116.111	1.054	n/a	n/a	ITI
117.165	2.008	0.982	L	Faces
119.173	1.054	n/a	n/a	ITI
120.227	2.008	1.088	L	Faces
122.235	3.012	n/a	n/a	CueShapes
125.247	2.008	0.612	R	Shapes
127.255	1.088	n/a	n/a	ITI
128.343	2.008	0.884	L	Shapes
130.351	1.088	n/a	n/a	ITI
131.439	2.008	1.213	L	Shapes
133.447	1.088	n/a	n/a	ITI
134.535	2.008	0.837	L	Shapes
136.543	1.054	n/a	n/a	ITI
137.597	2.008	1.462	L	Shapes
139.605	1.054	n/a	n/a	ITI
140.659	2.008	1.0	L	Shapes
142.667	3.012	n/a	n/a	CueFaces
145.679	2.008	1.428	L	Faces
147.687	1.071	n/a	n/a	ITI
148.758	2.008	1.261	R	Faces
150.766	1.054	n/a	n/a	ITI
151.82	2.008	1.007	L	Faces
153.828	1.071	n/a	n/a	ITI
154.899	2.008	1.24	R	Faces
156.907	1.037	n/a	n/a	ITI
157.944	2.008	1.059	L	Faces
159.952	1.071	n/a	n/a	ITI
161.023	2.008	1.036	R	Faces
163.031	3.012	n/a	n/a	CueShapes
166.043	2.008	0.951	L	Shapes
168.051	1.087	n/a	n/a	ITI
169.138	2.008	0.912	R	Shapes
171.146	1.071	n/a	n/a	ITI
172.217	2.008	1.009	R	Shapes
174.225	1.105	n/a	n/a	ITI
175.33	2.008	n/a	n/a	Shapes
177.338	1.07	n/a	n/a	ITI
178.408	2.008	1.114	R	Shapes
180.416	1.071	n/a	n/a	ITI
181.487	2.008	0.771	R	Shapes
183.495	3.012	n/a	n/a	CueFaces
186.507	2.008	1.335	R	Faces
188.515	1.054	n/a	n/a	ITI
189.569	2.008	1.089	R	Faces
191.577	1.054	n/a	n/a	ITI
192.631	2.008	0.995	R	Faces
194.639	1.022	n/a	n/a	ITI
195.661	2.008	0.996	L	Faces
197.669	1.071	n/a	n/a	ITI
198.74	2.008	0.91	L	Faces
200.748	1.054	n/a	n/a	ITI
201.802	2.008	1.24	L	Faces
203.81	3.012	n/a	n/a	CueShapes
206.822	2.008	0.692	L	Shapes
208.83	1.088	n/a	n/a	ITI
209.918	2.008	0.548	R	Shapes
211.926	1.087	n/a	n/a	ITI
213.013	2.008	0.701	L	Shapes
215.021	1.054	n/a	n/a	ITI
216.075	2.008	0.591	L	Shapes
218.083	1.105	n/a	n/a	ITI
219.188	2.008	0.598	R	Shapes
221.196	1.087	n/a	n/a	ITI
222.283	2.008	0.479	R	Shapes
224.291	3.012	n/a	n/a	CueFaces
227.303	2.008	1.458	R	Faces
229.311	1.071	n/a	n/a	ITI
230.382	2.008	0.755	R	Faces
232.39	1.037	n/a	n/a	ITI
233.427	2.008	1.43	L	Faces
235.435	1.054	n/a	n/a	ITI
236.489	2.008	0.928	R	Faces
238.497	1.038	n/a	n/a	ITI
