onset	duration	trial_type
20.013	20	FingerTapping
60.038	20	FingerTapping
100.063	20	FingerTapping
140.088	20	FingerTapping
180.113	20	FingerTapping
220.139	20	FingerTapping
260.164	20	FingerTapping
300.189	20	FingerTapping
340.214	20	FingerTapping
380.239	20	FingerTapping
