onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	1.061	L	Shapes
5.02	1.054	n/a	n/a	ITI
6.074	2.008	0.903	R	Shapes
8.082	1.054	n/a	n/a	ITI
9.136	2.008	0.665	R	Shapes
11.144	1.054	n/a	n/a	ITI
12.198	2.008	0.859	L	Shapes
14.206	1.054	n/a	n/a	ITI
15.26	2.008	0.941	R	Shapes
17.268	1.055	n/a	n/a	ITI
18.323	2.008	0.694	R	Shapes
20.331	3.011	n/a	n/a	CueFaces
23.342	2.008	0.874	L	Faces
25.35	1.021	n/a	n/a	ITI
26.371	2.008	0.989	L	Faces
28.379	1.021	n/a	n/a	ITI
29.4	2.008	0.728	R	Faces
31.408	1.021	n/a	n/a	ITI
32.429	2.008	0.787	L	Faces
34.437	1.037	n/a	n/a	ITI
35.474	2.008	0.662	R	Faces
37.482	1.037	n/a	n/a	ITI
38.519	2.008	0.825	R	Faces
40.527	3.012	n/a	n/a	CueShapes
43.539	2.008	0.837	L	Shapes
45.547	1.055	n/a	n/a	ITI
46.602	2.008	0.694	L	Shapes
48.61	1.054	n/a	n/a	ITI
49.664	2.008	0.752	L	Shapes
51.672	1.054	n/a	n/a	ITI
52.726	2.008	0.538	R	Shapes
54.734	1.054	n/a	n/a	ITI
55.788	2.008	0.628	L	Shapes
57.796	1.054	n/a	n/a	ITI
58.85	2.008	0.662	R	Shapes
60.858	3.012	n/a	n/a	CueFaces
63.87	2.008	0.818	R	Faces
65.878	1.021	n/a	n/a	ITI
66.899	2.008	0.724	L	Faces
68.907	1.021	n/a	n/a	ITI
69.928	2.008	0.815	R	Faces
71.936	1.02	n/a	n/a	ITI
72.956	2.008	0.779	L	Faces
74.964	1.021	n/a	n/a	ITI
75.985	2.008	0.806	R	Faces
77.993	1.021	n/a	n/a	ITI
79.014	2.008	0.809	L	Faces
81.022	3.012	n/a	n/a	CueShapes
84.034	2.008	0.677	R	Shapes
86.042	1.054	n/a	n/a	ITI
87.096	2.008	1.087	L	Shapes
89.104	1.054	n/a	n/a	ITI
90.158	2.008	0.729	R	Shapes
92.166	1.054	n/a	n/a	ITI
93.22	2.008	0.643	R	Shapes
95.228	1.054	n/a	n/a	ITI
96.282	2.008	1.005	R	Shapes
98.29	1.054	n/a	n/a	ITI
99.344	2.008	0.679	L	Shapes
101.352	3.012	n/a	n/a	CueFaces
104.364	2.008	1.395	R	Faces
106.372	1.021	n/a	n/a	ITI
107.393	2.008	1.038	R	Faces
109.401	1.021	n/a	n/a	ITI
110.422	2.008	0.801	R	Faces
112.43	1.02	n/a	n/a	ITI
113.45	2.008	1.084	L	Faces
115.458	1.021	n/a	n/a	ITI
116.479	2.008	0.751	L	Faces
118.487	1.021	n/a	n/a	ITI
119.508	2.008	1.242	L	Faces
121.516	3.012	n/a	n/a	CueShapes
