onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	0.749	R	Shapes
5.02	1.054	n/a	n/a	ITI
6.074	2.008	1.423	R	Shapes
8.082	1.054	n/a	n/a	ITI
9.136	2.008	1.081	R	Shapes
11.144	1.054	n/a	n/a	ITI
12.198	2.008	0.923	L	Shapes
14.206	1.054	n/a	n/a	ITI
15.26	2.008	1.181	R	Shapes
17.268	1.054	n/a	n/a	ITI
18.322	2.008	0.959	R	Shapes
20.33	3.012	n/a	n/a	CueFaces
23.342	2.008	1.002	L	Faces
25.35	1.021	n/a	n/a	ITI
26.371	2.008	1.085	L	Faces
28.379	1.02	n/a	n/a	ITI
29.399	2.008	1.161	R	Faces
31.407	1.021	n/a	n/a	ITI
32.428	2.008	1.212	L	Faces
34.436	1.021	n/a	n/a	ITI
35.457	2.008	0.991	R	Faces
37.465	1.02	n/a	n/a	ITI
38.485	2.008	1.003	R	Faces
40.493	3.012	n/a	n/a	CueShapes
43.505	2.008	0.719	L	Shapes
45.513	1.054	n/a	n/a	ITI
46.567	2.008	0.905	L	Shapes
48.575	1.055	n/a	n/a	ITI
49.63	2.008	0.978	L	Shapes
51.638	1.055	n/a	n/a	ITI
52.693	2.008	1.131	R	Shapes
54.701	1.054	n/a	n/a	ITI
55.755	2.008	0.989	L	Shapes
57.763	1.054	n/a	n/a	ITI
58.817	2.008	0.855	R	Shapes
60.825	3.012	n/a	n/a	CueFaces
63.837	2.008	0.771	R	Faces
65.845	1.02	n/a	n/a	ITI
66.865	2.008	0.975	L	Faces
68.873	1.021	n/a	n/a	ITI
69.894	2.008	1.218	R	Faces
71.902	1.021	n/a	n/a	ITI
72.923	2.008	1.189	L	Faces
74.931	1.02	n/a	n/a	ITI
75.951	2.008	1.137	R	Faces
77.959	1.021	n/a	n/a	ITI
78.98	2.008	1.164	L	Faces
80.988	3.012	n/a	n/a	CueShapes
84.0	2.008	0.655	R	Shapes
86.008	1.054	n/a	n/a	ITI
87.062	2.008	0.801	L	Shapes
89.07	1.054	n/a	n/a	ITI
90.124	2.008	0.971	R	Shapes
92.132	1.054	n/a	n/a	ITI
93.186	2.008	0.893	R	Shapes
95.194	1.054	n/a	n/a	ITI
96.248	2.008	0.935	R	Shapes
98.256	1.055	n/a	n/a	ITI
99.311	2.008	1.04	L	Shapes
101.319	3.012	n/a	n/a	CueFaces
104.331	2.007	1.028	R	Faces
106.338	1.021	n/a	n/a	ITI
107.359	2.008	0.976	R	Faces
109.367	1.021	n/a	n/a	ITI
110.388	2.008	1.059	R	Faces
112.396	1.02	n/a	n/a	ITI
113.416	2.008	1.046	L	Faces
115.424	1.021	n/a	n/a	ITI
116.445	2.008	1.121	L	Faces
118.453	1.021	n/a	n/a	ITI
119.474	2.008	1.34	L	Faces
121.482	3.012	n/a	n/a	CueShapes
124.494	2.008	0.6	R	Shapes
126.502	1.054	n/a	n/a	ITI
