onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.007	1.084	R	Shapes
5.019	1.055	n/a	n/a	ITI
6.074	2.008	0.822	R	Shapes
8.082	1.054	n/a	n/a	ITI
9.136	2.008	0.624	R	Shapes
11.144	1.054	n/a	n/a	ITI
12.198	2.008	0.802	L	Shapes
14.206	1.054	n/a	n/a	ITI
15.26	2.008	0.596	R	Shapes
17.268	1.054	n/a	n/a	ITI
18.322	2.008	0.678	R	Shapes
20.33	3.012	n/a	n/a	CueFaces
23.342	2.008	1.169	L	Faces
25.35	1.021	n/a	n/a	ITI
26.371	2.008	0.932	L	Faces
28.379	1.02	n/a	n/a	ITI
29.399	2.008	0.754	R	Faces
31.407	1.021	n/a	n/a	ITI
32.428	2.008	0.627	L	Faces
34.436	1.021	n/a	n/a	ITI
35.457	2.008	0.526	R	Faces
37.465	1.02	n/a	n/a	ITI
38.485	2.008	1.066	R	Faces
40.493	3.012	n/a	n/a	CueShapes
43.505	2.008	0.75	L	Shapes
45.513	1.055	n/a	n/a	ITI
46.568	2.008	0.639	L	Shapes
48.576	1.055	n/a	n/a	ITI
49.631	2.008	0.785	L	Shapes
51.639	1.054	n/a	n/a	ITI
52.693	2.008	1.019	R	Shapes
54.701	1.054	n/a	n/a	ITI
55.755	2.008	0.621	L	Shapes
57.763	1.054	n/a	n/a	ITI
58.817	2.008	0.766	R	Shapes
60.825	3.012	n/a	n/a	CueFaces
63.837	2.008	0.802	R	Faces
65.845	1.021	n/a	n/a	ITI
66.866	2.008	0.733	L	Faces
68.874	1.037	n/a	n/a	ITI
69.911	2.008	0.84	R	Faces
71.919	1.021	n/a	n/a	ITI
72.94	2.008	1.003	L	Faces
74.948	1.02	n/a	n/a	ITI
75.968	2.008	0.615	R	Faces
77.976	1.021	n/a	n/a	ITI
78.997	2.008	0.754	L	Faces
81.005	3.012	n/a	n/a	CueShapes
84.017	2.008	0.606	R	Shapes
86.025	1.054	n/a	n/a	ITI
87.079	2.008	0.784	L	Shapes
89.087	1.071	n/a	n/a	ITI
90.158	2.008	0.521	R	Shapes
92.166	1.054	n/a	n/a	ITI
93.22	2.008	0.634	R	Shapes
95.228	1.054	n/a	n/a	ITI
96.282	2.008	0.644	R	Shapes
98.29	1.054	n/a	n/a	ITI
99.344	2.008	0.646	L	Shapes
101.352	3.012	n/a	n/a	CueFaces
104.364	2.008	0.674	L	Faces
106.372	1.021	n/a	n/a	ITI
107.393	2.008	0.933	R	Faces
109.401	1.054	n/a	n/a	ITI
110.455	2.008	0.991	R	Faces
112.463	1.021	n/a	n/a	ITI
113.484	2.008	0.77	L	Faces
115.492	1.054	n/a	n/a	ITI
116.546	2.008	0.732	L	Faces
118.554	1.021	n/a	n/a	ITI
119.575	2.008	0.863	L	Faces
121.583	3.012	n/a	n/a	CueShapes
124.595	2.008	0.875	R	Shapes
126.603	1.087	n/a	n/a	ITI
127.69	2.008	0.595	L	Shapes
129.698	1.054	n/a	n/a	ITI
130.752	2.008	0.693	L	Shapes
132.76	1.054	n/a	n/a	ITI
133.814	2.008	0.567	L	Shapes
135.822	1.055	n/a	n/a	ITI
136.877	2.008	0.552	L	Shapes
138.885	1.054	n/a	n/a	ITI
139.939	2.008	0.65	L	Shapes
141.947	3.012	n/a	n/a	CueFaces
144.959	2.008	0.918	L	Faces
146.967	1.02	n/a	n/a	ITI
147.987	2.008	0.69	R	Faces
149.995	1.021	n/a	n/a	ITI
151.016	2.008	0.565	L	Faces
153.024	1.021	n/a	n/a	ITI
154.045	2.008	0.824	R	Faces
156.053	1.02	n/a	n/a	ITI
157.073	2.008	1.036	L	Faces
159.081	1.021	n/a	n/a	ITI
160.102	2.008	0.951	R	Faces
162.11	3.012	n/a	n/a	CueShapes
165.122	2.008	0.562	L	Shapes
167.13	1.054	n/a	n/a	ITI
168.184	2.008	0.684	R	Shapes
170.192	1.054	n/a	n/a	ITI
171.246	2.008	0.638	R	Shapes
173.254	1.054	n/a	n/a	ITI
174.308	2.008	0.696	L	Shapes
176.316	1.054	n/a	n/a	ITI
177.37	2.008	0.506	R	Shapes
179.378	1.055	n/a	n/a	ITI
180.433	2.008	0.563	R	Shapes
182.441	3.012	n/a	n/a	CueFaces
185.453	2.007	0.751	R	Faces
187.46	1.021	n/a	n/a	ITI
188.481	2.008	0.723	R	Faces
190.489	1.021	n/a	n/a	ITI
191.51	2.008	0.638	R	Faces
193.518	1.021	n/a	n/a	ITI
194.539	2.008	0.624	L	Faces
196.547	1.021	n/a	n/a	ITI
197.568	2.008	1.188	L	Faces
199.576	1.021	n/a	n/a	ITI
200.597	2.008	0.959	L	Faces
202.605	3.012	n/a	n/a	CueShapes
205.617	2.008	0.707	L	Shapes
207.625	1.054	n/a	n/a	ITI
208.679	2.008	0.797	R	Shapes
210.687	1.054	n/a	n/a	ITI
211.741	2.008	0.623	L	Shapes
213.749	1.088	n/a	n/a	ITI
214.837	2.008	0.535	L	Shapes
216.845	1.054	n/a	n/a	ITI
217.899	2.008	0.689	R	Shapes
219.907	1.054	n/a	n/a	ITI
220.961	2.008	0.683	R	Shapes
222.969	3.012	n/a	n/a	CueFaces
225.981	2.008	0.863	R	Faces
227.989	1.021	n/a	n/a	ITI
229.01	2.008	0.641	R	Faces
231.018	1.021	n/a	n/a	ITI
232.039	2.008	0.669	L	Faces
234.047	1.021	n/a	n/a	ITI
235.068	2.008	0.52	R	Faces
237.076	1.021	n/a	n/a	ITI
238.097	2.008	0.643	L	Faces
240.105	1.02	n/a	n/a	ITI
241.125	2.008	0.655	L	Faces
243.133	3.012	n/a	n/a	CueShapes
246.145	2.008	0.563	L	Shapes
248.153	1.054	n/a	n/a	ITI
249.207	2.008	0.725	L	Shapes
251.215	1.054	n/a	n/a	ITI
252.269	2.008	0.855	R	Shapes
254.277	1.055	n/a	n/a	ITI
255.332	2.008	0.872	R	Shapes
257.34	1.054	n/a	n/a	ITI
258.394	2.008	0.61	R	Shapes
260.402	1.104	n/a	n/a	ITI
261.506	2.008	0.562	R	Shapes
263.514	3.012	n/a	n/a	CueFaces
266.526	2.008	0.677	R	Faces
268.534	1.021	n/a	n/a	ITI
269.555	2.008	0.6	L	Faces
271.563	1.037	n/a	n/a	ITI
272.6	2.008	0.723	L	Faces
274.608	1.021	n/a	n/a	ITI
275.629	2.008	0.566	R	Faces
277.637	1.02	n/a	n/a	ITI
278.657	2.008	0.65	L	Faces
280.665	1.021	n/a	n/a	ITI
281.686	2.008	0.541	R	Faces
283.694	3.012	n/a	n/a	CueShapes
286.706	2.008	0.577	L	Shapes
288.714	1.088	n/a	n/a	ITI
289.802	2.008	0.513	R	Shapes
291.81	1.054	n/a	n/a	ITI
292.864	2.008	0.715	R	Shapes
294.872	1.054	n/a	n/a	ITI
295.926	2.008	0.868	L	Shapes
297.934	1.054	n/a	n/a	ITI
298.988	2.008	0.582	L	Shapes
300.996	1.054	n/a	n/a	ITI
302.05	2.008	0.792	L	Shapes
304.058	3.012	n/a	n/a	CueFaces
307.07	2.008	0.588	R	Faces
309.078	1.021	n/a	n/a	ITI
310.099	2.008	0.607	R	Faces
312.107	1.037	n/a	n/a	ITI
313.144	2.008	0.642	L	Faces
315.152	1.071	n/a	n/a	ITI
316.223	2.008	1.003	L	Faces
318.231	1.021	n/a	n/a	ITI
319.252	2.008	1.19	L	Faces
321.26	1.02	n/a	n/a	ITI
322.28	2.008	0.818	L	Faces
324.288	3.012	n/a	n/a	CueShapes
327.3	2.008	0.71	R	Shapes
329.308	1.071	n/a	n/a	ITI
330.379	2.008	0.599	L	Shapes
332.387	1.054	n/a	n/a	ITI
333.441	2.008	0.56	R	Shapes
335.449	1.054	n/a	n/a	ITI
336.503	2.008	0.586	R	Shapes
338.511	1.055	n/a	n/a	ITI
339.566	2.008	0.539	L	Shapes
341.574	1.055	n/a	n/a	ITI
342.629	2.008	0.525	R	Shapes
344.637	3.012	n/a	n/a	CueFaces
347.649	2.008	0.601	R	Faces
349.657	1.02	n/a	n/a	ITI
350.677	2.008	0.637	L	Faces
352.685	1.021	n/a	n/a	ITI
353.706	2.008	0.784	L	Faces
355.714	1.021	n/a	n/a	ITI
356.735	2.008	0.699	L	Faces
358.743	1.037	n/a	n/a	ITI
359.78	2.008	0.678	R	Faces
361.788	1.021	n/a	n/a	ITI
362.809	2.008	0.681	L	Faces
364.817	3.012	n/a	n/a	CueShapes
367.829	2.008	0.676	L	Shapes
369.837	1.054	n/a	n/a	ITI
370.891	2.008	0.598	R	Shapes
372.899	1.054	n/a	n/a	ITI
373.953	2.008	0.784	R	Shapes
375.961	1.087	n/a	n/a	ITI
377.048	2.008	0.849	L	Shapes
379.056	1.055	n/a	n/a	ITI
380.111	2.008	0.61	L	Shapes
382.119	1.054	n/a	n/a	ITI
383.173	2.008	0.772	L	Shapes
385.181	3.012	n/a	n/a	CueFaces
388.193	2.008	0.72	L	Faces
390.201	1.02	n/a	n/a	ITI
391.221	2.008	0.74	R	Faces
393.229	1.021	n/a	n/a	ITI
394.25	2.008	0.583	R	Faces
396.258	1.021	n/a	n/a	ITI
397.279	2.008	0.666	R	Faces
399.287	1.02	n/a	n/a	ITI
400.307	2.008	0.653	L	Faces
402.315	1.021	n/a	n/a	ITI
403.336	2.008	0.624	L	Faces
405.344	3.012	n/a	n/a	CueShapes
408.356	2.008	0.54	L	Shapes
410.364	1.054	n/a	n/a	ITI
411.418	2.008	0.454	R	Shapes
413.426	1.054	n/a	n/a	ITI
414.48	2.008	0.728	R	Shapes
416.488	1.054	n/a	n/a	ITI
417.542	2.008	0.642	L	Shapes
419.55	1.054	n/a	n/a	ITI
420.604	2.008	1.18	L	Shapes
422.612	1.055	n/a	n/a	ITI
423.667	2.008	1.621	L	Shapes
