onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	1.066	R	Shapes
5.02	1.054	n/a	n/a	ITI
6.074	2.008	0.892	R	Shapes
8.082	1.054	n/a	n/a	ITI
9.136	2.008	0.918	R	Shapes
11.144	1.054	n/a	n/a	ITI
12.198	2.008	0.856	L	Shapes
14.206	1.055	n/a	n/a	ITI
15.261	2.008	0.681	R	Shapes
17.269	1.054	n/a	n/a	ITI
18.323	2.008	0.675	R	Shapes
20.331	3.012	n/a	n/a	CueFaces
23.343	2.008	0.967	L	Faces
25.351	1.02	n/a	n/a	ITI
26.371	2.008	0.906	L	Faces
28.379	1.021	n/a	n/a	ITI
29.4	2.008	0.893	R	Faces
31.408	1.021	n/a	n/a	ITI
32.429	2.008	1.12	L	Faces
34.437	1.021	n/a	n/a	ITI
35.458	2.008	0.851	R	Faces
37.466	1.02	n/a	n/a	ITI
38.486	2.008	1.087	R	Faces
40.494	3.012	n/a	n/a	CueShapes
43.506	2.008	0.747	R	Shapes
45.514	1.054	n/a	n/a	ITI
46.568	2.008	0.741	L	Shapes
48.576	1.055	n/a	n/a	ITI
49.631	2.008	0.574	L	Shapes
51.639	1.055	n/a	n/a	ITI
52.694	2.008	0.632	R	Shapes
54.702	1.054	n/a	n/a	ITI
55.756	2.008	0.666	L	Shapes
57.764	1.054	n/a	n/a	ITI
58.818	2.008	0.58	R	Shapes
60.826	3.012	n/a	n/a	CueFaces
63.838	2.008	0.848	R	Faces
65.846	1.021	n/a	n/a	ITI
66.867	2.008	0.803	L	Faces
68.875	1.02	n/a	n/a	ITI
69.895	2.008	1.463	R	Faces
71.903	1.021	n/a	n/a	ITI
72.924	2.008	0.826	L	Faces
74.932	1.021	n/a	n/a	ITI
75.953	2.008	0.804	R	Faces
77.961	1.02	n/a	n/a	ITI
78.981	2.008	0.784	L	Faces
80.989	3.012	n/a	n/a	CueShapes
84.001	2.008	0.564	R	Shapes
86.009	1.055	n/a	n/a	ITI
87.064	2.008	0.597	L	Shapes
89.072	1.054	n/a	n/a	ITI
90.126	2.008	0.879	R	Shapes
92.134	1.054	n/a	n/a	ITI
93.188	2.008	0.649	R	Shapes
95.196	1.054	n/a	n/a	ITI
96.25	2.008	0.699	R	Shapes
98.258	1.054	n/a	n/a	ITI
99.312	2.008	0.613	L	Shapes
101.32	3.012	n/a	n/a	CueFaces
104.332	2.008	1.377	R	Faces
106.34	1.021	n/a	n/a	ITI
107.361	2.008	1.092	R	Faces
109.369	1.021	n/a	n/a	ITI
110.39	2.008	0.903	R	Faces
112.398	1.02	n/a	n/a	ITI
113.418	2.008	0.763	L	Faces
115.426	1.021	n/a	n/a	ITI
116.447	2.008	0.822	L	Faces
118.455	1.021	n/a	n/a	ITI
