onset	duration	response_time	button_pressed	trial_type
0.0	3.011	n/a	n/a	CueShapes
3.011	2.008	1.032	R	Shapes
5.019	1.055	n/a	n/a	ITI
6.074	2.008	0.977	R	Shapes
8.082	1.054	n/a	n/a	ITI
9.136	2.008	0.643	R	Shapes
11.144	1.054	n/a	n/a	ITI
12.198	2.008	0.637	L	Shapes
14.206	1.054	n/a	n/a	ITI
15.26	2.008	0.959	R	Shapes
17.268	1.054	n/a	n/a	ITI
18.322	2.008	0.673	R	Shapes
20.33	3.012	n/a	n/a	CueFaces
23.342	2.008	0.861	L	Faces
25.35	1.021	n/a	n/a	ITI
26.371	2.008	0.816	L	Faces
28.379	1.021	n/a	n/a	ITI
29.4	2.008	0.819	R	Faces
31.408	1.02	n/a	n/a	ITI
32.428	2.008	0.855	L	Faces
34.436	1.021	n/a	n/a	ITI
35.457	2.008	0.77	R	Faces
37.465	1.021	n/a	n/a	ITI
38.486	2.008	1.013	R	Faces
40.494	3.012	n/a	n/a	CueShapes
43.506	2.008	0.672	L	Shapes
45.514	1.054	n/a	n/a	ITI
46.568	2.008	0.618	L	Shapes
48.576	1.054	n/a	n/a	ITI
49.63	2.008	0.764	L	Shapes
51.638	1.054	n/a	n/a	ITI
52.692	2.008	0.878	R	Shapes
54.7	1.054	n/a	n/a	ITI
55.754	2.008	0.712	L	Shapes
57.762	1.055	n/a	n/a	ITI
58.817	2.008	0.737	R	Shapes
60.825	3.011	n/a	n/a	CueFaces
63.836	2.008	0.726	R	Faces
65.844	1.021	n/a	n/a	ITI
66.865	2.008	0.897	L	Faces
68.873	1.021	n/a	n/a	ITI
69.894	2.008	0.892	R	Faces
71.902	1.021	n/a	n/a	ITI
72.923	2.008	0.751	L	Faces
74.931	1.02	n/a	n/a	ITI
75.951	2.008	0.739	R	Faces
77.959	1.021	n/a	n/a	ITI
78.98	2.008	0.726	L	Faces
80.988	3.012	n/a	n/a	CueShapes
84.0	2.008	0.737	R	Shapes
86.008	1.054	n/a	n/a	ITI
87.062	2.008	0.563	L	Shapes
89.07	1.054	n/a	n/a	ITI
90.124	2.008	0.549	R	Shapes
92.132	1.054	n/a	n/a	ITI
93.186	2.008	0.767	R	Shapes
95.194	1.055	n/a	n/a	ITI
96.249	2.008	0.736	R	Shapes
98.257	1.054	n/a	n/a	ITI
99.311	2.008	0.602	L	Shapes
101.319	3.012	n/a	n/a	CueFaces
104.331	2.008	1.014	R	Faces
106.339	1.037	n/a	n/a	ITI
107.376	2.008	0.921	R	Faces
109.384	1.021	n/a	n/a	ITI
110.405	2.008	0.844	R	Faces
112.413	1.02	n/a	n/a	ITI
113.433	2.008	0.784	L	Faces
115.441	1.021	n/a	n/a	ITI
116.462	2.008	0.699	L	Faces
118.47	1.021	n/a	n/a	ITI
119.491	2.008	0.918	L	Faces
