onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	0.968	R	Shapes
5.02	1.405	n/a	n/a	ITI
6.425	2.008	0.803	R	Shapes
8.433	1.054	n/a	n/a	ITI
9.487	2.008	0.653	R	Shapes
11.495	1.055	n/a	n/a	ITI
12.55	2.008	0.559	L	Shapes
14.558	1.087	n/a	n/a	ITI
15.645	2.008	0.535	R	Shapes
17.653	1.054	n/a	n/a	ITI
18.707	2.008	0.561	R	Shapes
20.715	3.012	n/a	n/a	CueFaces
23.727	2.008	0.717	L	Faces
25.735	1.49	n/a	n/a	ITI
27.225	2.008	0.603	L	Faces
29.233	1.054	n/a	n/a	ITI
30.287	2.008	0.557	R	Faces
32.295	1.372	n/a	n/a	ITI
33.667	2.008	0.561	L	Faces
35.675	1.021	n/a	n/a	ITI
36.696	2.008	0.444	R	Faces
38.704	1.373	n/a	n/a	ITI
40.077	2.008	0.503	L	Faces
42.085	3.012	n/a	n/a	CueShapes
45.097	2.008	0.875	L	Shapes
47.105	1.405	n/a	n/a	ITI
48.51	2.008	0.742	L	Shapes
50.518	1.054	n/a	n/a	ITI
51.572	2.008	0.696	L	Shapes
53.58	1.406	n/a	n/a	ITI
54.986	2.008	0.642	R	Shapes
56.994	1.121	n/a	n/a	ITI
58.115	2.008	0.545	L	Shapes
60.123	1.054	n/a	n/a	ITI
61.177	2.008	0.611	R	Shapes
63.185	3.012	n/a	n/a	CueFaces
66.197	2.008	0.679	R	Faces
68.205	1.037	n/a	n/a	ITI
69.242	2.008	1.13	L	Faces
71.25	1.624	n/a	n/a	ITI
72.874	2.008	0.946	R	Faces
74.882	1.355	n/a	n/a	ITI
76.237	2.008	0.607	L	Faces
78.245	1.054	n/a	n/a	ITI
79.299	2.008	0.745	R	Faces
81.307	1.372	n/a	n/a	ITI
82.679	2.008	0.773	L	Faces
84.687	3.012	n/a	n/a	CueShapes
87.699	2.008	0.617	R	Shapes
89.707	1.088	n/a	n/a	ITI
90.795	2.008	0.632	L	Shapes
92.803	1.087	n/a	n/a	ITI
93.89	2.008	0.513	R	Shapes
95.898	1.389	n/a	n/a	ITI
97.287	2.008	0.484	R	Shapes
99.295	1.088	n/a	n/a	ITI
100.383	2.008	0.804	R	Shapes
102.391	1.087	n/a	n/a	ITI
103.478	2.008	0.781	R	Shapes
105.486	3.012	n/a	n/a	CueFaces
108.498	2.008	1.305	R	Faces
110.506	1.439	n/a	n/a	ITI
111.945	2.008	0.778	R	Faces
113.953	1.172	n/a	n/a	ITI
115.125	2.008	0.815	R	Faces
