onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	0.727	R	Shapes
5.02	1.054	n/a	n/a	ITI
6.074	2.008	0.697	R	Shapes
8.082	1.054	n/a	n/a	ITI
9.136	2.008	0.594	R	Shapes
11.144	1.054	n/a	n/a	ITI
12.198	2.008	0.62	L	Shapes
14.206	1.054	n/a	n/a	ITI
15.26	2.008	0.718	R	Shapes
17.268	1.054	n/a	n/a	ITI
18.322	2.008	0.728	R	Shapes
20.33	3.012	n/a	n/a	CueFaces
23.342	2.008	0.82	L	Faces
25.35	1.021	n/a	n/a	ITI
26.371	2.008	0.839	L	Faces
28.379	1.02	n/a	n/a	ITI
29.399	2.008	0.675	R	Faces
31.407	1.021	n/a	n/a	ITI
32.428	2.008	0.838	L	Faces
34.436	1.021	n/a	n/a	ITI
35.457	2.008	0.84	R	Faces
37.465	1.021	n/a	n/a	ITI
38.486	2.008	0.732	R	Faces
40.494	3.012	n/a	n/a	CueShapes
43.506	2.008	0.752	L	Shapes
45.514	1.054	n/a	n/a	ITI
46.568	2.008	0.89	L	Shapes
48.576	1.054	n/a	n/a	ITI
49.63	2.008	1.116	L	Shapes
51.638	1.054	n/a	n/a	ITI
52.692	2.008	0.718	R	Shapes
54.7	1.054	n/a	n/a	ITI
55.754	2.008	0.768	L	Shapes
57.762	1.055	n/a	n/a	ITI
58.817	2.008	0.584	R	Shapes
60.825	3.012	n/a	n/a	CueFaces
63.837	2.008	0.997	R	Faces
65.845	1.021	n/a	n/a	ITI
66.866	2.008	1.096	L	Faces
68.874	1.021	n/a	n/a	ITI
69.895	2.008	1.427	R	Faces
71.903	1.054	n/a	n/a	ITI
72.957	2.008	0.877	L	Faces
74.965	1.037	n/a	n/a	ITI
76.002	2.008	0.896	R	Faces
78.01	1.037	n/a	n/a	ITI
79.047	2.008	0.979	L	Faces
81.055	3.012	n/a	n/a	CueShapes
84.067	2.008	0.734	R	Shapes
86.075	1.054	n/a	n/a	ITI
87.129	2.008	0.72	L	Shapes
89.137	1.055	n/a	n/a	ITI
90.192	2.008	0.721	R	Shapes
92.2	1.055	n/a	n/a	ITI
93.255	2.008	0.627	R	Shapes
95.263	1.054	n/a	n/a	ITI
96.317	2.008	0.845	R	Shapes
98.325	1.121	n/a	n/a	ITI
99.446	2.008	0.644	L	Shapes
101.454	3.012	n/a	n/a	CueFaces
104.466	2.008	1.464	R	Faces
106.474	1.037	n/a	n/a	ITI
107.511	2.008	1.026	R	Faces
109.519	1.021	n/a	n/a	ITI
110.54	2.008	1.085	R	Faces
112.548	1.02	n/a	n/a	ITI
113.568	2.008	0.937	L	Faces
115.576	1.088	n/a	n/a	ITI
116.664	2.008	0.833	L	Faces
118.672	1.02	n/a	n/a	ITI
119.692	2.008	0.917	L	Faces
121.7	3.012	n/a	n/a	CueShapes
124.712	2.008	0.609	R	Shapes
126.72	1.105	n/a	n/a	ITI
127.825	2.008	0.728	L	Shapes
129.833	1.07	n/a	n/a	ITI
130.903	2.008	0.801	L	Shapes
132.911	1.088	n/a	n/a	ITI
133.999	2.008	0.713	L	Shapes
136.007	1.054	n/a	n/a	ITI
137.061	2.008	0.515	L	Shapes
139.069	1.104	n/a	n/a	ITI
140.173	2.008	0.603	L	Shapes
142.181	3.012	n/a	n/a	CueFaces
145.193	2.008	0.871	L	Faces
147.201	1.088	n/a	n/a	ITI
148.289	2.008	0.871	R	Faces
150.297	1.054	n/a	n/a	ITI
151.351	2.008	0.937	L	Faces
153.359	1.021	n/a	n/a	ITI
154.38	2.008	0.82	R	Faces
156.388	1.038	n/a	n/a	ITI
157.426	2.008	1.078	L	Faces
159.434	1.021	n/a	n/a	ITI
160.455	2.008	1.017	R	Faces
162.463	3.012	n/a	n/a	CueShapes
165.475	2.008	0.726	L	Shapes
167.483	1.038	n/a	n/a	ITI
168.521	2.008	0.752	R	Shapes
170.529	1.054	n/a	n/a	ITI
171.583	2.008	0.882	R	Shapes
173.591	1.054	n/a	n/a	ITI
174.645	2.008	0.636	L	Shapes
176.653	1.054	n/a	n/a	ITI
177.707	2.008	0.638	R	Shapes
179.715	1.054	n/a	n/a	ITI
180.769	2.008	0.655	R	Shapes
182.777	3.012	n/a	n/a	CueFaces
185.789	2.008	0.755	R	Faces
187.797	1.021	n/a	n/a	ITI
188.818	2.008	1.262	R	Faces
190.826	1.02	n/a	n/a	ITI
191.846	2.008	0.786	R	Faces
193.854	1.021	n/a	n/a	ITI
194.875	2.008	0.917	L	Faces
196.883	1.021	n/a	n/a	ITI
197.904	2.008	1.032	L	Faces
199.912	1.021	n/a	n/a	ITI
200.933	2.008	0.828	L	Faces
202.941	3.012	n/a	n/a	CueShapes
205.953	2.008	1.311	L	Shapes
207.961	1.054	n/a	n/a	ITI
209.015	2.008	0.633	R	Shapes
211.023	1.054	n/a	n/a	ITI
212.077	2.008	0.851	L	Shapes
214.085	1.054	n/a	n/a	ITI
215.139	2.008	0.701	L	Shapes
217.147	1.054	n/a	n/a	ITI
218.201	2.008	1.031	R	Shapes
220.209	1.105	n/a	n/a	ITI
221.314	2.008	0.662	R	Shapes
223.322	3.012	n/a	n/a	CueFaces
226.334	2.008	1.241	R	Faces
228.342	1.087	n/a	n/a	ITI
229.429	2.008	0.874	R	Faces
231.437	1.021	n/a	n/a	ITI
232.458	2.008	1.005	L	Faces
234.466	1.087	n/a	n/a	ITI
235.553	2.008	0.798	R	Faces
237.561	1.021	n/a	n/a	ITI
238.582	2.008	0.937	L	Faces
240.59	1.021	n/a	n/a	ITI
241.611	2.008	0.916	L	Faces
243.619	3.011	n/a	n/a	CueShapes
246.63	2.008	0.737	L	Shapes
248.638	1.088	n/a	n/a	ITI
249.726	2.008	0.609	L	Shapes
251.734	1.088	n/a	n/a	ITI
252.822	2.008	0.712	R	Shapes
254.83	1.054	n/a	n/a	ITI
255.884	2.008	0.546	R	Shapes
257.892	1.054	n/a	n/a	ITI
258.946	2.008	0.612	R	Shapes
260.954	1.054	n/a	n/a	ITI
262.008	2.008	0.718	R	Shapes
264.016	3.012	n/a	n/a	CueFaces
267.028	2.008	0.842	R	Faces
269.036	1.087	n/a	n/a	ITI
270.123	2.008	0.931	L	Faces
272.131	1.054	n/a	n/a	ITI
273.185	2.008	0.86	L	Faces
275.193	1.021	n/a	n/a	ITI
276.214	2.008	0.871	R	Faces
278.222	1.071	n/a	n/a	ITI
279.293	2.008	0.632	L	Faces
281.301	1.054	n/a	n/a	ITI
282.355	2.008	0.666	R	Faces
284.363	3.012	n/a	n/a	CueShapes
287.375	2.008	0.75	L	Shapes
289.383	1.054	n/a	n/a	ITI
290.437	2.008	0.984	R	Shapes
292.445	1.054	n/a	n/a	ITI
293.499	2.008	0.682	R	Shapes
295.507	1.054	n/a	n/a	ITI
296.561	2.008	0.908	L	Shapes
298.569	1.054	n/a	n/a	ITI
299.623	2.008	0.765	L	Shapes
301.631	1.054	n/a	n/a	ITI
302.685	2.008	0.791	L	Shapes
304.693	3.012	n/a	n/a	CueFaces
307.705	2.008	1.139	R	Faces
309.713	1.021	n/a	n/a	ITI
310.734	2.008	1.054	R	Faces
312.742	1.02	n/a	n/a	ITI
313.762	2.008	1.138	L	Faces
315.77	1.021	n/a	n/a	ITI
316.791	2.008	1.013	L	Faces
318.799	1.021	n/a	n/a	ITI
319.82	2.008	0.904	L	Faces
321.828	1.02	n/a	n/a	ITI
322.848	2.008	0.931	L	Faces
324.856	3.012	n/a	n/a	CueShapes
327.868	2.008	0.735	R	Shapes
329.876	1.088	n/a	n/a	ITI
330.964	2.008	0.591	L	Shapes
332.972	1.054	n/a	n/a	ITI
334.026	2.008	1.153	R	Shapes
336.034	1.071	n/a	n/a	ITI
337.105	2.008	0.794	R	Shapes
339.113	1.087	n/a	n/a	ITI
340.2	2.008	0.843	L	Shapes
342.208	1.088	n/a	n/a	ITI
343.296	2.008	0.979	R	Shapes
345.304	3.012	n/a	n/a	CueFaces
348.316	2.008	1.03	R	Faces
350.324	1.037	n/a	n/a	ITI
351.361	2.008	0.809	R	Faces
353.369	1.037	n/a	n/a	ITI
354.406	2.008	0.788	L	Faces
356.414	1.021	n/a	n/a	ITI
357.435	2.008	0.719	L	Faces
359.443	1.021	n/a	n/a	ITI
360.464	2.008	1.066	R	Faces
362.472	1.02	n/a	n/a	ITI
363.492	2.008	0.806	L	Faces
365.5	3.012	n/a	n/a	CueShapes
368.512	2.008	0.674	L	Shapes
370.52	1.054	n/a	n/a	ITI
371.574	2.008	0.595	R	Shapes
373.582	1.054	n/a	n/a	ITI
374.636	2.008	0.653	R	Shapes
376.644	1.055	n/a	n/a	ITI
377.699	2.008	0.814	L	Shapes
379.707	1.055	n/a	n/a	ITI
380.762	2.008	0.616	L	Shapes
382.77	1.054	n/a	n/a	ITI
383.824	2.008	0.642	L	Shapes
385.832	3.012	n/a	n/a	CueFaces
388.844	2.007	0.67	L	Faces
390.851	1.021	n/a	n/a	ITI
391.872	2.008	0.898	R	Faces
393.88	1.021	n/a	n/a	ITI
394.901	2.008	0.844	R	Faces
396.909	1.02	n/a	n/a	ITI
397.929	2.008	0.936	R	Faces
399.937	1.021	n/a	n/a	ITI
400.958	2.008	0.947	L	Faces
402.966	1.021	n/a	n/a	ITI
403.987	2.008	0.878	L	Faces
405.995	3.012	n/a	n/a	CueShapes
409.007	2.008	0.69	L	Shapes
411.015	1.054	n/a	n/a	ITI
412.069	2.008	0.628	R	Shapes
414.077	1.054	n/a	n/a	ITI
415.131	2.008	0.774	R	Shapes
417.139	1.054	n/a	n/a	ITI
418.193	2.008	0.983	L	Shapes
420.201	1.054	n/a	n/a	ITI
421.255	2.008	0.825	L	Shapes
423.263	1.054	n/a	n/a	ITI
424.317	2.008	0.851	L	Shapes
