onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	1.517	R	Shapes
5.02	1.054	n/a	n/a	ITI
6.074	2.008	1.102	R	Shapes
8.082	1.054	n/a	n/a	ITI
9.136	2.008	0.848	R	Shapes
11.144	1.054	n/a	n/a	ITI
12.198	2.008	1.074	L	Shapes
14.206	1.054	n/a	n/a	ITI
15.26	2.008	1.108	R	Shapes
17.268	1.054	n/a	n/a	ITI
18.322	2.008	0.862	R	Shapes
20.33	3.012	n/a	n/a	CueFaces
23.342	2.008	0.938	L	Faces
25.35	1.021	n/a	n/a	ITI
26.371	2.008	1.021	L	Faces
28.379	1.021	n/a	n/a	ITI
29.4	2.008	0.976	R	Faces
31.408	1.02	n/a	n/a	ITI
32.428	2.008	0.82	L	Faces
34.436	1.021	n/a	n/a	ITI
35.457	2.008	0.831	R	Faces
37.465	1.037	n/a	n/a	ITI
38.502	2.008	n/a	n/a	Faces
40.51	3.012	0.033	R	CueShapes
43.522	2.008	0.9	L	Shapes
45.53	1.054	n/a	n/a	ITI
46.584	2.008	1.198	L	Shapes
48.592	1.054	n/a	n/a	ITI
49.646	2.008	0.76	L	Shapes
51.654	1.054	n/a	n/a	ITI
52.708	2.008	0.778	R	Shapes
54.716	1.055	n/a	n/a	ITI
55.771	2.008	0.715	L	Shapes
57.779	1.054	n/a	n/a	ITI
58.833	2.008	0.693	R	Shapes
60.841	3.012	n/a	n/a	CueFaces
63.853	2.008	0.849	R	Faces
65.861	1.02	n/a	n/a	ITI
66.881	2.008	0.949	L	Faces
68.889	1.021	n/a	n/a	ITI
69.91	2.008	1.336	R	Faces
71.918	1.021	n/a	n/a	ITI
72.939	2.008	1.163	L	Faces
74.947	1.02	n/a	n/a	ITI
75.967	2.008	0.886	R	Faces
77.975	1.021	n/a	n/a	ITI
78.996	2.008	0.929	L	Faces
81.004	3.012	n/a	n/a	CueShapes
84.016	2.008	0.629	R	Shapes
86.024	1.054	n/a	n/a	ITI
87.078	2.008	0.695	L	Shapes
89.086	1.054	n/a	n/a	ITI
90.14	2.008	0.673	R	Shapes
92.148	1.054	n/a	n/a	ITI
93.202	2.008	0.531	R	Shapes
95.21	1.054	n/a	n/a	ITI
96.264	2.008	0.917	R	Shapes
98.272	1.105	n/a	n/a	ITI
99.377	2.008	0.66	L	Shapes
101.385	3.012	n/a	n/a	CueFaces
104.397	2.008	1.096	R	Faces
106.405	1.02	n/a	n/a	ITI
107.425	2.008	0.796	R	Faces
109.433	1.021	n/a	n/a	ITI
110.454	2.008	0.742	R	Faces
112.462	1.021	n/a	n/a	ITI
113.483	2.008	0.841	L	Faces
115.491	1.02	n/a	n/a	ITI
116.511	2.008	0.701	L	Faces
118.519	1.021	n/a	n/a	ITI
119.54	2.008	0.944	L	Faces
121.548	3.012	n/a	n/a	CueShapes
124.56	2.008	0.66	R	Shapes
126.568	1.054	n/a	n/a	ITI
127.622	2.008	0.494	L	Shapes
129.63	1.054	n/a	n/a	ITI
130.684	2.008	0.528	L	Shapes
132.692	1.054	n/a	n/a	ITI
133.746	2.008	0.506	L	Shapes
135.754	1.055	n/a	n/a	ITI
136.809	2.008	0.467	L	Shapes
138.817	1.055	n/a	n/a	ITI
139.872	2.008	0.493	L	Shapes
141.88	3.012	n/a	n/a	CueFaces
144.892	2.008	0.872	L	Faces
146.9	1.037	n/a	n/a	ITI
147.937	2.008	0.867	R	Faces
149.945	1.021	n/a	n/a	ITI
150.966	2.008	0.726	L	Faces
152.974	1.02	n/a	n/a	ITI
153.994	2.008	1.362	R	Faces
156.002	1.054	n/a	n/a	ITI
157.056	2.008	0.82	L	Faces
159.064	1.021	n/a	n/a	ITI
160.085	2.008	0.711	R	Faces
162.093	3.012	n/a	n/a	CueShapes
165.105	2.008	0.971	L	Shapes
167.113	1.054	n/a	n/a	ITI
168.167	2.008	0.645	R	Shapes
170.175	1.054	n/a	n/a	ITI
171.229	2.008	0.687	R	Shapes
173.237	1.054	n/a	n/a	ITI
174.291	2.008	0.569	L	Shapes
176.299	1.055	n/a	n/a	ITI
177.354	2.008	0.537	R	Shapes
179.362	1.054	n/a	n/a	ITI
180.416	2.008	0.611	R	Shapes
182.424	3.012	n/a	n/a	CueFaces
185.436	2.008	0.607	R	Faces
187.444	1.02	n/a	n/a	ITI
188.464	2.008	0.867	R	Faces
190.472	1.021	n/a	n/a	ITI
191.493	2.008	0.694	R	Faces
193.501	1.021	n/a	n/a	ITI
194.522	2.008	0.761	L	Faces
196.53	1.02	n/a	n/a	ITI
197.55	2.008	0.749	L	Faces
199.558	1.021	n/a	n/a	ITI
200.579	2.008	0.808	L	Faces
202.587	3.012	n/a	n/a	CueShapes
205.599	2.008	0.564	L	Shapes
207.607	1.054	n/a	n/a	ITI
208.661	2.008	0.694	R	Shapes
210.669	1.054	n/a	n/a	ITI
211.723	2.008	0.695	L	Shapes
213.731	1.054	n/a	n/a	ITI
214.785	2.008	0.625	L	Shapes
216.793	1.055	n/a	n/a	ITI
217.848	2.008	0.618	R	Shapes
219.856	1.055	n/a	n/a	ITI
220.911	2.008	0.556	R	Shapes
222.919	3.012	n/a	n/a	CueFaces
225.931	2.008	1.736	R	Faces
227.939	1.02	n/a	n/a	ITI
228.959	2.008	0.852	R	Faces
230.967	1.054	n/a	n/a	ITI
232.021	2.008	0.974	L	Faces
234.029	1.021	n/a	n/a	ITI
235.05	2.008	0.729	R	Faces
237.058	1.021	n/a	n/a	ITI
238.079	2.008	0.724	L	Faces
240.087	1.02	n/a	n/a	ITI
241.107	2.008	0.656	L	Faces
243.115	3.012	n/a	n/a	CueShapes
246.127	2.008	0.595	L	Shapes
248.135	1.054	n/a	n/a	ITI
249.189	2.008	0.645	L	Shapes
251.197	1.055	n/a	n/a	ITI
252.252	2.008	0.798	R	Shapes
254.26	1.054	n/a	n/a	ITI
255.314	2.008	0.712	R	Shapes
257.322	1.054	n/a	n/a	ITI
258.376	2.008	0.738	R	Shapes
260.384	1.054	n/a	n/a	ITI
261.438	2.008	0.788	R	Shapes
263.446	3.012	n/a	n/a	CueFaces
266.458	2.008	0.68	R	Faces
268.466	1.037	n/a	n/a	ITI
269.503	2.008	0.699	L	Faces
271.511	1.021	n/a	n/a	ITI
272.532	2.008	0.694	L	Faces
274.54	1.021	n/a	n/a	ITI
275.561	2.008	0.665	R	Faces
277.569	1.02	n/a	n/a	ITI
278.589	2.008	0.764	L	Faces
280.597	1.021	n/a	n/a	ITI
281.618	2.008	0.615	R	Faces
283.626	3.012	n/a	n/a	CueShapes
286.638	2.008	0.627	L	Shapes
288.646	1.054	n/a	n/a	ITI
289.7	2.008	0.637	R	Shapes
291.708	1.054	n/a	n/a	ITI
292.762	2.008	0.679	R	Shapes
294.77	1.054	n/a	n/a	ITI
295.824	2.008	0.577	L	Shapes
297.832	1.054	n/a	n/a	ITI
298.886	2.008	0.523	L	Shapes
300.894	1.088	n/a	n/a	ITI
301.982	2.008	0.971	L	Shapes
303.99	3.012	n/a	n/a	CueFaces
307.002	2.008	0.703	R	Faces
309.01	1.021	n/a	n/a	ITI
310.031	2.008	0.73	R	Faces
312.039	1.02	n/a	n/a	ITI
313.059	2.008	0.725	L	Faces
315.067	1.021	n/a	n/a	ITI
316.088	2.008	0.72	L	Faces
318.096	1.021	n/a	n/a	ITI
319.117	2.008	0.811	L	Faces
321.125	1.02	n/a	n/a	ITI
322.145	2.008	0.711	L	Faces
324.153	3.012	n/a	n/a	CueShapes
327.165	2.008	0.795	R	Shapes
329.173	1.054	n/a	n/a	ITI
330.227	2.008	0.541	L	Shapes
332.235	1.055	n/a	n/a	ITI
333.29	2.008	0.782	R	Shapes
335.298	1.054	n/a	n/a	ITI
336.352	2.008	0.584	R	Shapes
338.36	1.054	n/a	n/a	ITI
339.414	2.008	0.618	L	Shapes
341.422	1.054	n/a	n/a	ITI
342.476	2.008	0.636	R	Shapes
344.484	3.012	n/a	n/a	CueFaces
347.496	2.008	1.128	R	Faces
349.504	1.021	n/a	n/a	ITI
350.525	2.008	0.754	R	Faces
352.533	1.02	n/a	n/a	ITI
353.553	2.008	0.694	L	Faces
355.561	1.021	n/a	n/a	ITI
356.582	2.008	0.809	L	Faces
358.59	1.021	n/a	n/a	ITI
359.611	2.008	0.86	R	Faces
361.619	1.02	n/a	n/a	ITI
362.639	2.008	0.704	R	Faces
364.647	3.012	n/a	n/a	CueShapes
367.659	2.008	0.644	L	Shapes
369.667	1.054	n/a	n/a	ITI
370.721	2.008	0.598	R	Shapes
372.729	1.054	n/a	n/a	ITI
373.783	2.008	0.52	R	Shapes
375.791	1.055	n/a	n/a	ITI
376.846	2.008	0.865	L	Shapes
378.854	1.054	n/a	n/a	ITI
379.908	2.008	0.523	L	Shapes
381.916	1.054	n/a	n/a	ITI
382.97	2.008	0.485	L	Shapes
384.978	3.012	n/a	n/a	CueFaces
387.99	2.008	0.712	L	Faces
389.998	1.02	n/a	n/a	ITI
391.018	2.008	0.62	R	Faces
393.026	1.021	n/a	n/a	ITI
394.047	2.008	0.751	R	Faces
396.055	1.021	n/a	n/a	ITI
397.076	2.008	0.794	R	Faces
399.084	1.02	n/a	n/a	ITI
400.104	2.008	0.678	L	Faces
402.112	1.021	n/a	n/a	ITI
403.133	2.008	0.697	L	Faces
405.141	3.012	n/a	n/a	CueShapes
