onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	1.199	R	Shapes
5.02	1.054	n/a	n/a	ITI
6.074	2.008	1.185	R	Shapes
8.082	1.088	n/a	n/a	ITI
9.17	2.008	0.897	R	Shapes
11.178	1.054	n/a	n/a	ITI
12.232	2.008	0.955	L	Shapes
14.24	1.071	n/a	n/a	ITI
15.311	2.008	0.884	R	Shapes
17.319	1.054	n/a	n/a	ITI
18.373	2.008	0.573	R	Shapes
20.381	3.012	n/a	n/a	CueFaces
23.393	2.008	0.729	L	Faces
25.401	1.02	n/a	n/a	ITI
26.421	2.008	0.637	L	Faces
28.429	1.021	n/a	n/a	ITI
29.45	2.008	0.64	R	Faces
31.458	1.021	n/a	n/a	ITI
32.479	2.008	0.651	L	Faces
34.487	1.054	n/a	n/a	ITI
35.541	2.008	0.613	R	Faces
37.549	1.054	n/a	n/a	ITI
38.603	2.008	0.959	R	Faces
40.611	3.012	n/a	n/a	CueShapes
43.623	2.008	0.642	L	Shapes
45.631	1.054	n/a	n/a	ITI
46.685	2.008	0.532	L	Shapes
48.693	1.071	n/a	n/a	ITI
49.764	2.008	0.581	L	Shapes
51.772	1.055	n/a	n/a	ITI
52.827	2.008	0.551	R	Shapes
54.835	1.054	n/a	n/a	ITI
55.889	2.008	0.625	L	Shapes
57.897	1.087	n/a	n/a	ITI
58.984	2.008	0.658	R	Shapes
60.992	3.012	n/a	n/a	CueFaces
64.004	2.008	0.782	R	Faces
66.012	1.021	n/a	n/a	ITI
67.033	2.008	0.784	L	Faces
69.041	1.037	n/a	n/a	ITI
70.078	2.008	0.731	R	Faces
72.086	1.021	n/a	n/a	ITI
73.107	2.008	0.622	L	Faces
75.115	1.054	n/a	n/a	ITI
76.169	2.008	0.696	R	Faces
78.177	1.054	n/a	n/a	ITI
79.231	2.008	0.618	L	Faces
81.239	3.012	n/a	n/a	CueShapes
84.251	2.008	0.59	R	Shapes
86.259	1.054	n/a	n/a	ITI
87.313	2.008	0.56	L	Shapes
89.321	1.054	n/a	n/a	ITI
90.375	2.008	0.609	R	Shapes
92.383	1.088	n/a	n/a	ITI
93.471	2.008	0.721	R	Shapes
95.479	1.054	n/a	n/a	ITI
96.533	2.008	0.515	R	Shapes
98.541	1.087	n/a	n/a	ITI
99.628	2.008	0.684	L	Shapes
101.636	3.012	n/a	n/a	CueFaces
104.648	2.008	0.504	L	Faces
106.656	1.021	0.08	R	ITI
107.677	2.008	0.851	R	Faces
109.685	1.037	n/a	n/a	ITI
110.722	2.008	0.894	R	Faces
112.73	1.021	n/a	n/a	ITI
113.751	2.008	0.792	L	Faces
115.759	1.02	n/a	n/a	ITI
116.779	2.008	0.732	L	Faces
118.787	1.021	n/a	n/a	ITI
119.808	2.008	0.743	L	Faces
121.816	3.012	n/a	n/a	CueShapes
124.828	2.008	0.619	R	Shapes
126.836	1.087	n/a	n/a	ITI
127.923	2.008	0.572	L	Shapes
129.931	1.088	n/a	n/a	ITI
131.019	2.008	0.532	L	Shapes
133.027	1.104	n/a	n/a	ITI
134.131	2.008	0.548	L	Shapes
136.139	1.054	n/a	n/a	ITI
137.193	2.008	0.518	L	Shapes
139.201	1.055	n/a	n/a	ITI
140.256	2.008	0.67	L	Shapes
142.264	3.011	n/a	n/a	CueFaces
145.275	2.008	0.691	L	Faces
147.283	1.021	n/a	n/a	ITI
148.304	2.008	0.766	R	Faces
150.312	1.071	n/a	n/a	ITI
151.383	2.008	0.631	L	Faces
153.391	1.071	n/a	n/a	ITI
154.462	2.008	0.88	R	Faces
156.47	1.054	n/a	n/a	ITI
157.524	2.008	0.682	L	Faces
159.532	1.054	n/a	n/a	ITI
160.586	2.008	0.732	R	Faces
162.594	3.012	n/a	n/a	CueShapes
165.606	2.008	0.639	L	Shapes
167.614	1.054	n/a	n/a	ITI
168.668	2.008	0.705	R	Shapes
170.676	1.087	n/a	n/a	ITI
171.763	2.008	0.698	R	Shapes
173.771	1.055	n/a	n/a	ITI
174.826	2.008	0.579	L	Shapes
176.834	1.055	n/a	n/a	ITI
177.889	2.008	0.597	R	Shapes
179.897	1.054	n/a	n/a	ITI
180.951	2.008	0.551	R	Shapes
182.959	3.012	n/a	n/a	CueFaces
185.971	2.008	0.571	R	Faces
187.979	1.02	n/a	n/a	ITI
188.999	2.008	0.91	R	Faces
191.007	1.021	n/a	n/a	ITI
192.028	2.008	0.681	R	Faces
194.036	1.02	n/a	n/a	ITI
195.056	2.008	0.605	L	Faces
197.064	1.021	n/a	n/a	ITI
198.085	2.008	0.72	L	Faces
200.093	1.021	n/a	n/a	ITI
201.114	2.008	0.619	L	Faces
203.122	3.012	n/a	n/a	CueShapes
206.134	2.008	0.527	L	Shapes
208.142	1.054	n/a	n/a	ITI
209.196	2.008	0.697	R	Shapes
211.204	1.054	n/a	n/a	ITI
212.258	2.008	0.642	L	Shapes
214.266	1.054	n/a	n/a	ITI
215.32	2.008	0.564	L	Shapes
217.328	1.087	n/a	n/a	ITI
218.415	2.008	0.717	R	Shapes
220.423	1.055	n/a	n/a	ITI
221.478	2.008	0.59	R	Shapes
223.486	3.011	n/a	n/a	CueFaces
226.497	2.008	0.603	L	Faces
228.505	1.088	n/a	n/a	ITI
229.593	2.008	0.651	R	Faces
231.601	1.021	n/a	n/a	ITI
232.622	2.008	0.87	L	Faces
234.63	1.054	n/a	n/a	ITI
235.684	2.008	0.735	R	Faces
237.692	1.054	n/a	n/a	ITI
238.746	2.008	0.769	L	Faces
240.754	1.087	n/a	n/a	ITI
241.841	2.008	0.658	L	Faces
243.849	3.012	n/a	n/a	CueShapes
246.861	2.008	0.558	L	Shapes
248.869	1.054	n/a	n/a	ITI
249.923	2.008	0.544	L	Shapes
251.931	1.071	n/a	n/a	ITI
253.002	2.008	0.721	R	Shapes
255.01	1.104	n/a	n/a	ITI
256.114	2.008	0.777	R	Shapes
258.122	1.055	n/a	n/a	ITI
259.177	2.008	0.513	R	Shapes
261.185	1.054	n/a	n/a	ITI
262.239	2.008	0.675	R	Shapes
264.247	3.012	n/a	n/a	CueFaces
267.259	2.007	0.559	R	Faces
269.266	1.021	n/a	n/a	ITI
270.287	2.008	0.683	L	Faces
272.295	1.021	n/a	n/a	ITI
273.316	2.008	0.534	L	Faces
275.324	1.02	n/a	n/a	ITI
276.344	2.008	0.722	R	Faces
278.352	1.021	n/a	n/a	ITI
279.373	2.008	0.613	L	Faces
281.381	1.021	n/a	n/a	ITI
282.402	2.008	0.559	R	Faces
284.41	3.012	n/a	n/a	CueShapes
287.422	2.007	0.691	L	Shapes
289.429	1.055	n/a	n/a	ITI
290.484	2.008	0.477	R	Shapes
292.492	1.054	n/a	n/a	ITI
293.546	2.008	0.511	R	Shapes
295.554	1.054	n/a	n/a	ITI
296.608	2.008	0.449	L	Shapes
298.616	1.054	n/a	n/a	ITI
299.67	2.008	0.715	L	Shapes
301.678	1.054	n/a	n/a	ITI
302.732	2.008	0.685	L	Shapes
304.74	3.012	n/a	n/a	CueFaces
307.752	2.008	0.568	R	Faces
309.76	1.021	n/a	n/a	ITI
310.781	2.008	0.811	R	Faces
312.789	1.021	n/a	n/a	ITI
313.81	2.008	0.719	L	Faces
315.818	1.021	n/a	n/a	ITI
316.839	2.008	0.81	L	Faces
318.847	1.02	n/a	n/a	ITI
