onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	0.835	R	Shapes
5.02	1.088	n/a	n/a	ITI
6.108	2.008	1.107	R	Shapes
8.116	1.054	n/a	n/a	ITI
9.17	2.008	0.829	R	Shapes
11.178	1.054	n/a	n/a	ITI
12.232	2.008	1.047	L	Shapes
14.24	1.054	n/a	n/a	ITI
15.294	2.008	0.657	R	Shapes
17.302	1.054	n/a	n/a	ITI
18.356	2.008	0.795	R	Shapes
20.364	3.012	n/a	n/a	CueFaces
23.376	2.008	0.99	L	Faces
25.384	1.037	n/a	n/a	ITI
26.421	2.008	0.881	L	Faces
28.429	1.071	n/a	n/a	ITI
29.5	2.008	1.074	R	Faces
31.508	1.038	n/a	n/a	ITI
32.546	2.008	1.628	L	Faces
34.554	1.087	n/a	n/a	ITI
35.641	2.008	1.341	R	Faces
37.649	1.071	n/a	n/a	ITI
38.72	2.008	1.702	R	Faces
40.728	3.012	n/a	n/a	CueShapes
43.74	2.008	0.802	L	Shapes
45.748	1.088	n/a	n/a	ITI
46.836	2.008	0.914	L	Shapes
48.844	1.054	n/a	n/a	ITI
49.898	2.008	1.252	L	Shapes
51.906	1.054	n/a	n/a	ITI
52.96	2.008	1.83	L	Shapes
54.968	1.071	0.27	R	ITI
56.039	2.008	1.622	L	Shapes
58.047	1.071	n/a	n/a	ITI
59.118	2.008	1.703	R	Shapes
61.126	3.012	n/a	n/a	CueFaces
64.138	2.008	1.875	R	Faces
66.146	1.07	n/a	n/a	ITI
67.216	2.008	1.541	L	Faces
69.224	1.021	n/a	n/a	ITI
70.245	2.008	1.872	R	Faces
72.253	1.021	n/a	n/a	ITI
73.274	2.008	1.675	L	Faces
75.282	1.037	n/a	n/a	ITI
76.319	2.008	1.662	R	Faces
78.327	1.054	n/a	n/a	ITI
79.381	2.008	n/a	n/a	Faces
81.389	3.011	n/a	n/a	CueShapes
84.4	2.008	1.012	R	Shapes
86.408	1.088	n/a	n/a	ITI
87.496	2.008	0.788	L	Shapes
89.504	1.054	n/a	n/a	ITI
90.558	2.008	0.846	R	Shapes
92.566	1.071	n/a	n/a	ITI
93.637	2.008	0.966	R	Shapes
95.645	1.054	n/a	n/a	ITI
96.699	2.008	1.128	R	Shapes
98.707	1.088	n/a	n/a	ITI
99.795	2.008	1.216	L	Shapes
101.803	3.012	n/a	n/a	CueFaces
104.815	2.008	1.332	R	Faces
106.823	1.087	n/a	n/a	ITI
107.91	2.008	1.485	R	Faces
109.918	1.054	n/a	n/a	ITI
110.972	2.008	1.663	R	Faces
112.98	1.021	n/a	n/a	ITI
114.001	2.008	1.282	L	Faces
116.009	1.021	n/a	n/a	ITI
117.03	2.008	1.269	L	Faces
119.038	1.087	n/a	n/a	ITI
120.125	2.008	1.662	L	Faces
122.133	3.012	n/a	n/a	CueShapes
125.145	2.008	0.866	R	Shapes
127.153	1.054	n/a	n/a	ITI
128.207	2.008	1.107	L	Shapes
130.215	1.054	n/a	n/a	ITI
131.269	2.008	0.989	L	Shapes
133.277	1.071	n/a	n/a	ITI
134.348	2.008	0.766	L	Shapes
136.356	1.054	n/a	n/a	ITI
137.41	2.008	0.864	L	Shapes
139.418	1.055	n/a	n/a	ITI
140.473	2.008	0.921	L	Shapes
142.481	3.012	n/a	n/a	CueFaces
145.493	2.007	1.261	L	Faces
147.5	1.021	n/a	n/a	ITI
148.521	2.008	1.281	R	Faces
150.529	1.021	n/a	n/a	ITI
151.55	2.008	1.828	L	Faces
153.558	1.021	n/a	n/a	ITI
154.579	2.008	1.495	R	Faces
156.587	1.021	n/a	n/a	ITI
157.608	2.008	1.77	L	Faces
159.616	1.021	n/a	n/a	ITI
160.637	2.008	n/a	n/a	Faces
162.645	3.012	n/a	n/a	CueShapes
165.657	2.007	0.752	L	Shapes
167.664	1.055	n/a	n/a	ITI
168.719	2.008	0.898	R	Shapes
170.727	1.054	n/a	n/a	ITI
171.781	2.008	0.764	R	Shapes
173.789	1.071	n/a	n/a	ITI
174.86	2.008	0.677	L	Shapes
176.868	1.054	n/a	n/a	ITI
177.922	2.008	0.863	R	Shapes
179.93	1.054	n/a	n/a	ITI
180.984	2.008	0.857	R	Shapes
182.992	3.012	n/a	n/a	CueFaces
186.004	2.008	1.013	R	Faces
188.012	1.037	n/a	n/a	ITI
189.049	2.008	1.136	R	Faces
191.057	1.071	n/a	n/a	ITI
192.128	2.008	1.313	R	Faces
194.136	1.021	n/a	n/a	ITI
195.157	2.008	1.451	L	Faces
197.165	1.087	n/a	n/a	ITI
198.252	2.008	1.644	L	Faces
200.26	1.071	n/a	n/a	ITI
201.331	2.008	1.165	L	Faces
203.339	3.012	n/a	n/a	CueShapes
206.351	2.008	0.641	L	Shapes
208.359	1.054	n/a	n/a	ITI
209.413	2.008	0.771	R	Shapes
211.421	1.054	n/a	n/a	ITI
212.475	2.008	1.325	L	Shapes
214.483	1.055	n/a	n/a	ITI
215.538	2.008	1.07	L	Shapes
217.546	1.054	n/a	n/a	ITI
218.6	2.008	0.848	R	Shapes
220.608	1.054	n/a	n/a	ITI
221.662	2.008	0.706	R	Shapes
223.67	3.012	n/a	n/a	CueFaces
226.682	2.008	0.933	R	Faces
228.69	1.02	n/a	n/a	ITI
229.71	2.008	1.121	R	Faces
231.718	1.021	n/a	n/a	ITI
232.739	2.008	1.012	L	Faces
234.747	1.021	n/a	n/a	ITI
235.768	2.008	1.151	R	Faces
237.776	1.054	n/a	n/a	ITI
238.83	2.008	0.721	L	Faces
240.838	1.088	n/a	n/a	ITI
241.926	2.008	1.081	L	Faces
243.934	3.011	n/a	n/a	CueShapes
246.945	2.008	0.646	L	Shapes
248.953	1.071	n/a	n/a	ITI
250.024	2.008	1.063	L	Shapes
252.032	1.071	n/a	n/a	ITI
253.103	2.008	1.568	R	Shapes
255.111	1.088	n/a	n/a	ITI
256.199	2.008	0.84	R	Shapes
258.207	1.087	n/a	n/a	ITI
259.294	2.008	0.705	R	Shapes
261.302	1.055	n/a	n/a	ITI
262.357	2.008	0.809	R	Shapes
264.365	3.011	n/a	n/a	CueFaces
267.376	2.008	0.902	R	Faces
269.384	1.055	n/a	n/a	ITI
270.439	2.008	0.799	L	Faces
272.447	1.054	n/a	n/a	ITI
273.501	2.008	1.081	L	Faces
275.509	1.054	n/a	n/a	ITI
276.563	2.008	1.219	R	Faces
278.571	1.021	n/a	n/a	ITI
279.592	2.008	1.094	L	Faces
281.6	1.037	n/a	n/a	ITI
282.637	2.008	1.065	R	Faces
284.645	3.012	n/a	n/a	CueShapes
287.657	2.008	0.741	L	Shapes
289.665	1.087	n/a	n/a	ITI
290.752	2.008	0.718	R	Shapes
292.76	1.055	n/a	n/a	ITI
293.815	2.008	0.863	R	Shapes
295.823	1.054	n/a	n/a	ITI
296.877	2.008	0.744	L	Shapes
298.885	1.054	n/a	n/a	ITI
299.939	2.008	0.666	L	Shapes
301.947	1.071	n/a	n/a	ITI
303.018	2.008	0.699	L	Shapes
305.026	3.012	n/a	n/a	CueFaces
308.038	2.008	1.607	R	Faces
310.046	1.02	n/a	n/a	ITI
311.066	2.008	0.691	R	Faces
313.074	1.054	n/a	n/a	ITI
314.128	2.008	0.813	L	Faces
316.136	1.071	n/a	n/a	ITI
317.207	2.008	1.158	L	Faces
319.215	1.021	n/a	n/a	ITI
320.236	2.008	0.953	L	Faces
322.244	1.054	n/a	n/a	ITI
323.298	2.008	0.963	L	Faces
325.306	3.012	n/a	n/a	CueShapes
328.318	2.008	0.831	R	Shapes
330.326	1.054	n/a	n/a	ITI
331.38	2.008	0.776	L	Shapes
333.388	1.054	n/a	n/a	ITI
334.442	2.008	1.13	R	Shapes
336.45	1.054	n/a	n/a	ITI
337.504	2.008	0.748	R	Shapes
339.512	1.055	n/a	n/a	ITI
340.567	2.008	0.877	L	Shapes
342.575	1.054	n/a	n/a	ITI
343.629	2.008	0.791	R	Shapes
345.637	3.012	n/a	n/a	CueFaces
348.649	2.008	1.083	R	Faces
350.657	1.02	n/a	n/a	ITI
351.677	2.008	0.991	R	Faces
353.685	1.021	n/a	n/a	ITI
354.706	2.008	1.074	L	Faces
356.714	1.054	n/a	n/a	ITI
357.768	2.008	1.26	L	Faces
359.776	1.054	n/a	n/a	ITI
360.83	2.008	1.278	R	Faces
362.838	1.054	n/a	n/a	ITI
363.892	2.008	1.167	L	Faces
365.9	3.012	n/a	n/a	CueShapes
368.912	2.008	0.779	L	Shapes
370.92	1.088	n/a	n/a	ITI
372.008	2.008	0.731	R	Shapes
374.016	1.088	n/a	n/a	ITI
375.104	2.008	0.883	R	Shapes
377.112	1.087	n/a	n/a	ITI
378.199	2.008	1.268	L	Shapes
380.207	1.071	n/a	n/a	ITI
381.278	2.008	0.757	L	Shapes
383.286	1.054	n/a	n/a	ITI
384.34	2.008	0.719	L	Shapes
386.348	3.012	n/a	n/a	CueFaces
389.36	2.008	1.211	L	Faces
391.368	1.054	n/a	n/a	ITI
392.422	2.008	0.741	R	Faces
394.43	1.054	n/a	n/a	ITI
395.484	2.008	1.847	R	Faces
397.492	1.054	n/a	n/a	ITI
398.546	2.008	0.728	R	Faces
400.554	1.021	n/a	n/a	ITI
401.575	2.008	1.163	L	Faces
403.583	1.054	n/a	n/a	ITI
404.637	2.008	0.981	L	Faces
406.645	3.012	n/a	n/a	CueShapes
409.657	2.008	0.921	L	Shapes
411.665	1.054	n/a	n/a	ITI
412.719	2.008	0.659	R	Shapes
414.727	1.055	n/a	n/a	ITI
415.782	2.008	0.604	R	Shapes
417.79	1.055	n/a	n/a	ITI
418.845	2.008	0.782	L	Shapes
420.853	1.054	n/a	n/a	ITI
421.907	2.008	0.84	L	Shapes
423.915	1.054	n/a	n/a	ITI
424.969	2.008	0.674	L	Shapes
