onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	n/a	n/a	Shapes
5.02	1.054	0.079	R	ITI
6.074	2.008	0.929	R	Shapes
8.082	1.054	n/a	n/a	ITI
9.136	2.008	1.187	R	Shapes
11.144	1.055	n/a	n/a	ITI
12.199	2.008	0.98	L	Shapes
14.207	1.054	n/a	n/a	ITI
15.261	2.008	0.83	R	Shapes
17.269	1.054	n/a	n/a	ITI
18.323	2.008	0.824	R	Shapes
20.331	3.012	n/a	n/a	CueFaces
23.343	2.008	1.284	L	Faces
25.351	1.02	n/a	n/a	ITI
26.371	2.008	1.311	L	Faces
28.379	1.021	n/a	n/a	ITI
29.4	2.008	0.962	R	Faces
31.408	1.021	n/a	n/a	ITI
32.429	2.008	0.973	L	Faces
34.437	1.02	n/a	n/a	ITI
35.457	2.008	0.841	R	Faces
37.465	1.021	n/a	n/a	ITI
38.486	2.008	1.204	R	Faces
40.494	3.012	n/a	n/a	CueShapes
43.506	2.008	0.992	L	Shapes
45.514	1.054	n/a	n/a	ITI
46.568	2.008	0.706	L	Shapes
48.576	1.054	n/a	n/a	ITI
49.63	2.008	0.868	L	Shapes
51.638	1.054	n/a	n/a	ITI
52.692	2.008	1.078	R	Shapes
54.7	1.055	n/a	n/a	ITI
55.755	2.008	0.839	L	Shapes
57.763	1.054	n/a	n/a	ITI
58.817	2.008	0.737	R	Shapes
60.825	3.012	n/a	n/a	CueFaces
63.837	2.008	1.292	R	Faces
65.845	1.02	n/a	n/a	ITI
66.865	2.008	0.936	L	Faces
68.873	1.021	n/a	n/a	ITI
69.894	2.008	1.347	R	Faces
71.902	1.021	n/a	n/a	ITI
72.923	2.008	0.966	L	Faces
74.931	1.02	n/a	n/a	ITI
75.951	2.008	1.034	R	Faces
77.959	1.021	n/a	n/a	ITI
78.98	2.008	1.221	R	Faces
80.988	3.012	n/a	n/a	CueShapes
84.0	2.008	1.033	R	Shapes
86.008	1.054	n/a	n/a	ITI
87.062	2.008	0.803	L	Shapes
89.07	1.071	n/a	n/a	ITI
90.141	2.008	0.94	R	Shapes
92.149	1.054	n/a	n/a	ITI
93.203	2.008	0.91	R	Shapes
95.211	1.054	n/a	n/a	ITI
96.265	2.008	0.991	R	Shapes
98.273	1.054	n/a	n/a	ITI
99.327	2.008	0.881	L	Shapes
101.335	3.012	n/a	n/a	CueFaces
104.347	2.008	1.517	R	Faces
106.355	1.021	n/a	n/a	ITI
107.376	2.008	1.04	R	Faces
109.384	1.021	n/a	n/a	ITI
110.405	2.008	1.315	R	Faces
112.413	1.037	n/a	n/a	ITI
113.45	2.008	1.142	L	Faces
115.458	1.021	n/a	n/a	ITI
116.479	2.008	1.105	L	Faces
118.487	1.02	n/a	n/a	ITI
119.507	2.008	1.565	L	Faces
121.515	3.012	n/a	n/a	CueShapes
124.527	2.008	0.841	R	Shapes
126.535	1.054	n/a	n/a	ITI
127.589	2.008	0.835	L	Shapes
129.597	1.055	n/a	n/a	ITI
130.652	2.008	0.891	L	Shapes
132.66	1.055	n/a	n/a	ITI
133.715	2.008	1.109	L	Shapes
135.723	1.054	n/a	n/a	ITI
136.777	2.008	0.871	L	Shapes
138.785	1.054	n/a	n/a	ITI
139.839	2.008	0.817	L	Shapes
141.847	3.012	n/a	n/a	CueFaces
144.859	2.008	1.149	L	Faces
146.867	1.021	n/a	n/a	ITI
147.888	2.008	1.176	R	Faces
149.896	1.02	n/a	n/a	ITI
150.916	2.008	1.148	L	Faces
152.924	1.021	n/a	n/a	ITI
153.945	2.008	1.151	R	Faces
155.953	1.037	n/a	n/a	ITI
156.99	2.008	1.546	L	Faces
158.998	1.021	n/a	n/a	ITI
160.019	2.008	1.005	R	Faces
162.027	3.012	n/a	n/a	CueShapes
165.039	2.008	0.76	L	Shapes
167.047	1.054	n/a	n/a	ITI
168.101	2.008	0.698	R	Shapes
170.109	1.054	n/a	n/a	ITI
171.163	2.008	0.828	R	Shapes
173.171	1.054	n/a	n/a	ITI
174.225	2.008	0.902	L	Shapes
176.233	1.054	n/a	n/a	ITI
177.287	2.008	0.752	R	Shapes
179.295	1.055	n/a	n/a	ITI
180.35	2.008	1.001	R	Shapes
182.358	3.011	n/a	n/a	CueFaces
185.369	2.008	1.062	R	Faces
187.377	1.021	n/a	n/a	ITI
188.398	2.008	1.441	L	Faces
190.406	1.021	n/a	n/a	ITI
191.427	2.008	0.892	R	Faces
193.435	1.02	n/a	n/a	ITI
194.455	2.008	0.944	L	Faces
196.463	1.021	n/a	n/a	ITI
197.484	2.008	1.138	L	Faces
199.492	1.021	n/a	n/a	ITI
200.513	2.008	1.165	L	Faces
202.521	3.012	n/a	n/a	CueShapes
205.533	2.008	0.881	L	Shapes
207.541	1.054	n/a	n/a	ITI
208.595	2.008	0.931	R	Shapes
210.603	1.054	n/a	n/a	ITI
211.657	2.008	0.901	L	Shapes
213.665	1.054	n/a	n/a	ITI
214.719	2.008	0.999	L	Shapes
216.727	1.054	n/a	n/a	ITI
217.781	2.008	0.817	R	Shapes
219.789	1.054	n/a	n/a	ITI
220.843	2.008	0.779	R	Shapes
222.851	3.012	n/a	n/a	CueFaces
225.863	2.008	1.199	R	Faces
227.871	1.021	n/a	n/a	ITI
228.892	2.008	1.034	R	Faces
230.9	1.021	n/a	n/a	ITI
231.921	2.008	1.172	L	Faces
233.929	1.02	n/a	n/a	ITI
234.949	2.008	1.472	R	Faces
236.957	1.021	n/a	n/a	ITI
237.978	2.008	1.043	L	Faces
239.986	1.021	n/a	n/a	ITI
241.007	2.008	1.766	L	Faces
243.015	3.012	n/a	n/a	CueShapes
246.027	2.008	0.946	L	Shapes
248.035	1.054	n/a	n/a	ITI
249.089	2.008	1.012	L	Shapes
251.097	1.054	n/a	n/a	ITI
252.151	2.008	0.982	R	Shapes
254.159	1.054	n/a	n/a	ITI
255.213	2.008	0.8	R	Shapes
257.221	1.054	n/a	n/a	ITI
258.275	2.008	0.746	R	Shapes
260.283	1.054	n/a	n/a	ITI
261.337	2.008	0.724	R	Shapes
263.345	3.012	n/a	n/a	CueFaces
266.357	2.008	1.112	R	Faces
268.365	1.021	n/a	n/a	ITI
269.386	2.008	1.122	L	Faces
271.394	1.021	n/a	n/a	ITI
272.415	2.008	1.213	L	Faces
274.423	1.02	n/a	n/a	ITI
275.443	2.008	1.113	R	Faces
277.451	1.021	n/a	n/a	ITI
278.472	2.008	1.964	L	Faces
280.48	1.021	n/a	n/a	ITI
281.501	2.008	0.839	R	Faces
283.509	3.012	n/a	n/a	CueShapes
286.521	2.007	0.787	L	Shapes
288.528	1.055	n/a	n/a	ITI
289.583	2.008	0.717	R	Shapes
291.591	1.054	n/a	n/a	ITI
292.645	2.008	0.783	R	Shapes
294.653	1.054	n/a	n/a	ITI
295.707	2.008	0.753	L	Shapes
297.715	1.054	n/a	n/a	ITI
298.769	2.008	0.723	L	Shapes
300.777	1.054	n/a	n/a	ITI
301.831	2.008	1.42	L	Shapes
303.839	3.012	n/a	n/a	CueFaces
306.851	2.008	n/a	n/a	Faces
308.859	1.021	n/a	n/a	ITI
309.88	2.008	1.115	R	Faces
311.888	1.021	n/a	n/a	ITI
312.909	2.008	1.118	L	Faces
314.917	1.021	n/a	n/a	ITI
315.938	2.008	1.45	L	Faces
317.946	1.021	n/a	n/a	ITI
318.967	2.008	1.221	L	Faces
320.975	1.02	n/a	n/a	ITI
321.995	2.008	1.649	L	Faces
324.003	3.012	n/a	n/a	CueShapes
327.015	2.008	0.813	R	Shapes
329.023	1.055	n/a	n/a	ITI
330.078	2.008	0.894	L	Shapes
332.086	1.055	n/a	n/a	ITI
333.141	2.008	0.672	R	Shapes
335.149	1.054	n/a	n/a	ITI
336.203	2.008	0.657	R	Shapes
338.211	1.054	n/a	n/a	ITI
339.265	2.008	0.819	L	Shapes
341.273	1.054	n/a	n/a	ITI
342.327	2.008	0.869	R	Shapes
344.335	3.012	n/a	n/a	CueFaces
347.347	2.008	1.113	R	Faces
349.355	1.021	n/a	n/a	ITI
350.376	2.008	1.292	R	Faces
352.384	1.02	n/a	n/a	ITI
353.404	2.008	0.848	L	Faces
