onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	1.045	R	Shapes
5.02	1.087	n/a	n/a	ITI
6.107	2.008	0.95	R	Shapes
8.115	1.055	n/a	n/a	ITI
9.17	2.008	0.751	R	Shapes
11.178	1.055	n/a	n/a	ITI
12.233	2.008	0.649	L	Shapes
14.241	1.087	n/a	n/a	ITI
15.328	2.008	0.682	R	Shapes
17.336	1.054	n/a	n/a	ITI
18.39	2.008	0.732	R	Shapes
20.398	3.012	n/a	n/a	CueFaces
23.41	2.008	1.064	L	Faces
25.418	1.054	n/a	n/a	ITI
26.472	2.008	0.906	L	Faces
28.48	1.055	n/a	n/a	ITI
29.535	2.008	1.059	R	Faces
31.543	1.07	n/a	n/a	ITI
32.613	2.008	1.077	L	Faces
34.621	1.021	n/a	n/a	ITI
35.642	2.008	1.087	R	Faces
37.65	1.054	n/a	n/a	ITI
38.704	2.008	1.081	R	Faces
40.712	3.012	n/a	n/a	CueShapes
43.724	2.008	0.709	R	Shapes
45.732	1.054	n/a	n/a	ITI
46.786	2.008	0.703	L	Shapes
48.794	1.054	n/a	n/a	ITI
49.848	2.008	0.665	L	Shapes
51.856	1.088	n/a	n/a	ITI
52.944	2.008	0.697	R	Shapes
54.952	1.071	n/a	n/a	ITI
56.023	2.008	0.602	L	Shapes
58.031	1.088	n/a	n/a	ITI
59.119	2.008	0.602	R	Shapes
61.127	3.011	n/a	n/a	CueFaces
64.138	2.008	0.839	R	Faces
66.146	1.055	n/a	n/a	ITI
67.201	2.008	0.912	L	Faces
69.209	1.054	n/a	n/a	ITI
70.263	2.008	1.201	R	Faces
72.271	1.071	n/a	n/a	ITI
73.342	2.008	0.978	L	Faces
75.35	1.037	n/a	n/a	ITI
76.387	2.008	1.229	R	Faces
78.395	1.054	n/a	n/a	ITI
79.449	2.008	0.847	L	Faces
81.457	3.012	n/a	n/a	CueShapes
84.469	2.008	0.595	R	Shapes
86.477	1.088	n/a	n/a	ITI
87.565	2.008	0.691	L	Shapes
89.573	1.087	n/a	n/a	ITI
90.66	2.008	0.66	R	Shapes
92.668	1.088	n/a	n/a	ITI
93.756	2.008	0.548	R	Shapes
95.764	1.054	n/a	n/a	ITI
96.818	2.008	0.702	R	Shapes
98.826	1.054	n/a	n/a	ITI
99.88	2.008	0.624	L	Shapes
101.888	3.012	n/a	n/a	CueFaces
104.9	2.008	0.675	L	Faces
106.908	1.071	n/a	n/a	ITI
107.979	2.008	0.812	R	Faces
109.987	1.054	n/a	n/a	ITI
111.041	2.008	0.83	R	Faces
113.049	1.054	n/a	n/a	ITI
114.103	2.008	0.792	L	Faces
116.111	1.071	n/a	n/a	ITI
117.182	2.008	0.857	L	Faces
119.19	1.054	n/a	n/a	ITI
120.244	2.008	0.779	R	Faces
122.252	3.012	n/a	n/a	CueShapes
125.264	2.008	0.887	R	Shapes
127.272	1.071	n/a	n/a	ITI
128.343	2.008	0.64	L	Shapes
130.351	1.104	n/a	n/a	ITI
131.455	2.008	0.728	L	Shapes
133.463	1.105	n/a	n/a	ITI
134.568	2.008	0.655	L	Shapes
136.576	1.087	n/a	n/a	ITI
137.663	2.008	0.584	L	Shapes
139.671	1.054	n/a	n/a	ITI
140.725	2.008	0.521	L	Shapes
142.733	3.012	n/a	n/a	CueFaces
145.745	2.008	0.829	L	Faces
147.753	1.054	n/a	n/a	ITI
148.807	2.008	0.839	R	Faces
150.815	1.071	n/a	n/a	ITI
151.886	2.008	0.864	L	Faces
153.894	1.054	n/a	n/a	ITI
154.948	2.008	0.978	R	Faces
156.956	1.071	n/a	n/a	ITI
158.027	2.008	0.979	L	Faces
160.035	1.055	n/a	n/a	ITI
161.09	2.008	0.86	R	Faces
163.098	3.012	n/a	n/a	CueShapes
166.11	2.008	0.585	L	Shapes
168.118	1.072	n/a	n/a	ITI
169.19	2.008	0.641	R	Shapes
171.198	1.054	n/a	n/a	ITI
172.252	2.008	0.691	R	Shapes
174.26	1.071	n/a	n/a	ITI
175.331	2.008	0.572	L	Shapes
177.339	1.088	n/a	n/a	ITI
178.427	2.008	0.524	R	Shapes
180.435	1.088	n/a	n/a	ITI
181.523	2.008	0.54	R	Shapes
183.531	3.012	n/a	n/a	CueFaces
186.543	2.008	0.745	R	Faces
188.551	1.055	n/a	n/a	ITI
189.606	2.008	0.946	R	Faces
191.614	1.07	n/a	n/a	ITI
192.684	2.008	0.82	R	Faces
194.692	1.038	n/a	n/a	ITI
195.73	2.008	0.878	L	Faces
197.738	1.071	n/a	n/a	ITI
198.809	2.008	0.879	L	Faces
200.817	1.054	n/a	n/a	ITI
201.871	2.008	0.849	L	Faces
203.879	3.012	n/a	n/a	CueShapes
206.891	2.008	0.765	L	Shapes
208.899	1.087	n/a	n/a	ITI
209.986	2.008	0.869	R	Shapes
211.994	1.088	n/a	n/a	ITI
213.082	2.008	0.717	R	Shapes
215.09	1.054	n/a	n/a	ITI
216.144	2.008	0.727	L	Shapes
218.152	1.104	n/a	n/a	ITI
219.256	2.008	0.671	R	Shapes
221.264	1.071	n/a	n/a	ITI
222.335	2.008	0.656	R	Shapes
224.343	3.012	n/a	n/a	CueFaces
227.355	2.008	0.94	R	Faces
229.363	1.054	n/a	n/a	ITI
230.417	2.008	0.886	R	Faces
232.425	1.055	n/a	n/a	ITI
233.48	2.008	0.727	L	Faces
235.488	1.038	n/a	n/a	ITI
236.526	2.008	0.938	R	Faces
238.534	1.071	n/a	n/a	ITI
239.605	2.008	0.883	L	Faces
241.613	1.037	n/a	n/a	ITI
242.65	2.008	0.853	L	Faces
244.658	3.012	n/a	n/a	CueShapes
247.67	2.008	0.561	L	Shapes
249.678	1.088	n/a	n/a	ITI
250.766	2.008	0.601	L	Shapes
252.774	1.071	n/a	n/a	ITI
253.845	2.008	0.642	R	Shapes
255.853	1.087	n/a	n/a	ITI
256.94	2.008	0.683	R	Shapes
258.948	1.088	n/a	n/a	ITI
260.036	2.008	0.779	R	Shapes
262.044	1.087	n/a	n/a	ITI
263.131	2.008	0.636	R	Shapes
265.139	3.012	n/a	n/a	CueFaces
268.151	2.008	0.832	R	Faces
270.159	1.054	n/a	n/a	ITI
271.213	2.008	0.722	L	Faces
273.221	1.055	n/a	n/a	ITI
274.276	2.008	0.795	L	Faces
276.284	1.054	n/a	n/a	ITI
277.338	2.008	0.916	R	Faces
279.346	1.071	n/a	n/a	ITI
280.417	2.008	0.909	L	Faces
282.425	1.037	n/a	n/a	ITI
283.462	2.008	0.784	R	Faces
285.47	3.012	n/a	n/a	CueShapes
288.482	2.008	0.796	L	Shapes
290.49	1.088	n/a	n/a	ITI
291.578	2.008	0.604	R	Shapes
293.586	1.088	n/a	n/a	ITI
294.674	2.008	0.573	R	Shapes
296.682	1.054	n/a	n/a	ITI
297.736	2.008	1.119	L	Shapes
299.744	1.071	n/a	n/a	ITI
300.815	2.008	0.776	L	Shapes
302.823	1.088	n/a	n/a	ITI
303.911	2.008	0.68	L	Shapes
305.919	3.012	n/a	n/a	CueFaces
308.931	2.008	0.747	R	Faces
310.939	1.02	n/a	n/a	ITI
311.959	2.008	0.671	R	Faces
313.967	1.054	n/a	n/a	ITI
315.021	2.008	0.785	L	Faces
317.029	1.021	n/a	n/a	ITI
318.05	2.008	0.884	L	Faces
320.058	1.071	n/a	n/a	ITI
321.129	2.008	0.861	L	Faces
323.137	1.021	n/a	n/a	ITI
324.158	2.008	0.728	L	Faces
326.166	3.012	n/a	n/a	CueShapes
329.178	2.008	0.828	R	Shapes
331.186	1.087	n/a	n/a	ITI
332.273	2.008	0.725	L	Shapes
334.281	1.071	n/a	n/a	ITI
335.352	2.008	0.926	R	Shapes
337.36	1.054	n/a	n/a	ITI
338.414	2.008	0.632	R	Shapes
340.422	1.088	n/a	n/a	ITI
341.51	2.008	0.896	L	Shapes
343.518	1.087	n/a	n/a	ITI
344.605	2.008	0.529	R	Shapes
346.613	3.012	n/a	n/a	CueFaces
349.625	2.008	0.892	R	Faces
351.633	1.038	n/a	n/a	ITI
352.671	2.008	1.35	R	Faces
354.679	1.071	n/a	n/a	ITI
355.75	2.008	0.879	L	Faces
357.758	1.02	n/a	n/a	ITI
358.778	2.008	0.835	L	Faces
360.786	1.021	n/a	n/a	ITI
361.807	2.008	0.806	R	Faces
363.815	1.054	n/a	n/a	ITI
364.869	2.008	0.848	L	Faces
366.877	3.012	n/a	n/a	CueShapes
369.889	2.008	0.612	L	Shapes
371.897	1.121	n/a	n/a	ITI
373.018	2.008	0.667	R	Shapes
375.026	1.104	n/a	n/a	ITI
376.13	2.008	0.667	R	Shapes
378.138	1.055	n/a	n/a	ITI
379.193	2.008	0.907	L	Shapes
381.201	1.054	n/a	n/a	ITI
382.255	2.008	0.669	L	Shapes
384.263	1.054	n/a	n/a	ITI
385.317	2.008	0.735	L	Shapes
387.325	3.012	n/a	n/a	CueFaces
390.337	2.008	0.707	L	Faces
392.345	1.037	n/a	n/a	ITI
393.382	2.008	0.83	R	Faces
395.39	1.021	n/a	n/a	ITI
396.411	2.008	0.817	R	Faces
398.419	1.104	n/a	n/a	ITI
399.523	2.008	0.881	R	Faces
401.531	1.038	n/a	n/a	ITI
402.569	2.008	0.675	L	Faces
404.577	1.02	n/a	n/a	ITI
405.597	2.008	0.655	L	Faces
407.605	3.012	n/a	n/a	CueShapes
410.617	2.008	0.707	L	Shapes
412.625	1.054	n/a	n/a	ITI
413.679	2.008	0.74	R	Shapes
415.687	1.054	n/a	n/a	ITI
416.741	2.008	0.702	R	Shapes
418.749	1.055	n/a	n/a	ITI
419.804	2.008	0.839	L	Shapes
421.812	1.054	n/a	n/a	ITI
422.866	2.008	0.761	L	Shapes
424.874	1.054	n/a	n/a	ITI
425.928	2.008	0.771	L	Shapes
