onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	1.118	R	Shapes
5.02	1.054	n/a	n/a	ITI
6.074	2.008	0.751	R	Shapes
8.082	1.054	n/a	n/a	ITI
9.136	2.008	0.857	R	Shapes
11.144	1.054	n/a	n/a	ITI
12.198	2.008	0.659	L	Shapes
14.206	1.055	n/a	n/a	ITI
15.261	2.008	0.708	R	Shapes
17.269	1.054	n/a	n/a	ITI
18.323	2.008	0.742	R	Shapes
20.331	3.012	n/a	n/a	CueFaces
23.343	2.008	0.762	L	Faces
25.351	1.02	n/a	n/a	ITI
26.371	2.008	0.774	L	Faces
28.379	1.021	n/a	n/a	ITI
29.4	2.008	0.569	R	Faces
31.408	1.021	n/a	n/a	ITI
32.429	2.008	0.724	L	Faces
34.437	1.021	n/a	n/a	ITI
35.458	2.008	0.847	R	Faces
37.466	1.021	n/a	n/a	ITI
38.487	2.008	0.795	R	Faces
40.495	3.012	n/a	n/a	CueShapes
43.507	2.008	0.903	L	Shapes
45.515	1.054	n/a	n/a	ITI
46.569	2.008	0.673	L	Shapes
48.577	1.055	n/a	n/a	ITI
49.632	2.008	0.674	L	Shapes
51.64	1.054	n/a	n/a	ITI
52.694	2.008	0.988	R	Shapes
54.702	1.054	n/a	n/a	ITI
55.756	2.008	0.678	L	Shapes
57.764	1.054	n/a	n/a	ITI
58.818	2.008	0.584	R	Shapes
60.826	3.012	n/a	n/a	CueFaces
63.838	2.008	0.731	R	Faces
65.846	1.021	n/a	n/a	ITI
66.867	2.008	0.918	L	Faces
68.875	1.02	n/a	n/a	ITI
69.895	2.008	0.794	R	Faces
71.903	1.021	n/a	n/a	ITI
72.924	2.008	0.813	L	Faces
74.932	1.021	n/a	n/a	ITI
75.953	2.008	0.736	R	Faces
77.961	1.021	n/a	n/a	ITI
78.982	2.008	0.683	L	Faces
80.99	3.012	n/a	n/a	CueShapes
84.002	2.008	0.775	R	Shapes
86.01	1.054	n/a	n/a	ITI
87.064	2.008	0.649	L	Shapes
89.072	1.054	n/a	n/a	ITI
90.126	2.008	0.643	R	Shapes
92.134	1.054	n/a	n/a	ITI
93.188	2.008	0.589	R	Shapes
95.196	1.054	n/a	n/a	ITI
96.25	2.008	0.639	R	Shapes
98.258	1.054	n/a	n/a	ITI
99.312	2.008	0.561	L	Shapes
101.32	3.012	n/a	n/a	CueFaces
104.332	2.008	1.125	R	Faces
106.34	1.021	n/a	n/a	ITI
107.361	2.008	0.656	R	Faces
109.369	1.021	n/a	n/a	ITI
110.39	2.008	0.803	R	Faces
112.398	1.021	n/a	n/a	ITI
113.419	2.008	0.726	L	Faces
115.427	1.02	n/a	n/a	ITI
116.447	2.008	0.682	L	Faces
118.455	1.021	n/a	n/a	ITI
119.476	2.008	0.94	R	Faces
121.484	3.012	n/a	n/a	CueShapes
124.496	2.008	0.592	R	Shapes
126.504	1.054	n/a	n/a	ITI
127.558	2.008	0.61	L	Shapes
129.566	1.054	n/a	n/a	ITI
130.62	2.008	0.58	L	Shapes
132.628	1.054	n/a	n/a	ITI
133.682	2.008	0.582	L	Shapes
135.69	1.055	n/a	n/a	ITI
136.745	2.008	0.575	L	Shapes
138.753	1.054	n/a	n/a	ITI
139.807	2.008	0.585	L	Shapes
141.815	3.012	n/a	n/a	CueFaces
144.827	2.008	0.669	L	Faces
146.835	1.02	n/a	n/a	ITI
147.855	2.008	0.553	R	Faces
149.863	1.021	n/a	n/a	ITI
150.884	2.008	0.54	L	Faces
152.892	1.021	n/a	n/a	ITI
153.913	2.008	0.591	R	Faces
155.921	1.021	n/a	n/a	ITI
156.942	2.008	0.626	L	Faces
158.95	1.02	n/a	n/a	ITI
159.97	2.008	0.582	R	Faces
161.978	3.012	n/a	n/a	CueShapes
164.99	2.008	0.554	L	Shapes
166.998	1.054	n/a	n/a	ITI
168.052	2.008	0.588	R	Shapes
170.06	1.055	n/a	n/a	ITI
171.115	2.008	0.493	R	Shapes
173.123	1.054	n/a	n/a	ITI
174.177	2.008	0.631	L	Shapes
176.185	1.054	n/a	n/a	ITI
177.239	2.008	0.505	R	Shapes
179.247	1.054	n/a	n/a	ITI
180.301	2.008	0.578	R	Shapes
182.309	3.012	n/a	n/a	CueFaces
185.321	2.008	0.614	R	Faces
187.329	1.021	n/a	n/a	ITI
188.35	2.008	0.633	R	Faces
190.358	1.021	n/a	n/a	ITI
191.379	2.008	0.596	R	Faces
193.387	1.02	n/a	n/a	ITI
194.407	2.008	0.744	L	Faces
196.415	1.021	n/a	n/a	ITI
197.436	2.008	0.771	L	Faces
199.444	1.021	n/a	n/a	ITI
200.465	2.008	0.67	L	Faces
202.473	3.012	n/a	n/a	CueShapes
205.485	2.008	0.53	L	Shapes
207.493	1.054	n/a	n/a	ITI
208.547	2.008	0.612	R	Shapes
210.555	1.054	n/a	n/a	ITI
211.609	2.008	0.598	L	Shapes
213.617	1.054	n/a	n/a	ITI
214.671	2.008	0.656	L	Shapes
216.679	1.054	n/a	n/a	ITI
217.733	2.008	0.514	R	Shapes
219.741	1.055	n/a	n/a	ITI
220.796	2.008	0.499	R	Shapes
222.804	3.011	n/a	n/a	CueFaces
225.815	2.008	0.504	R	Faces
227.823	1.021	n/a	n/a	ITI
228.844	2.008	0.459	R	Faces
230.852	1.021	n/a	n/a	ITI
231.873	2.008	0.622	L	Faces
233.881	1.021	n/a	n/a	ITI
234.902	2.008	0.593	R	Faces
236.91	1.02	n/a	n/a	ITI
237.93	2.008	0.548	L	Faces
239.938	1.021	n/a	n/a	ITI
240.959	2.008	0.615	L	Faces
242.967	3.012	n/a	n/a	CueShapes
245.979	2.008	0.523	L	Shapes
247.987	1.054	n/a	n/a	ITI
249.041	2.008	0.637	L	Shapes
251.049	1.054	n/a	n/a	ITI
252.103	2.008	0.447	R	Shapes
254.111	1.055	n/a	n/a	ITI
255.166	2.008	0.472	R	Shapes
257.174	1.054	n/a	n/a	ITI
258.228	2.008	0.562	R	Shapes
260.236	1.054	n/a	n/a	ITI
261.29	2.008	0.524	R	Shapes
263.298	3.012	n/a	n/a	CueFaces
266.31	2.008	0.488	R	Faces
268.318	1.021	n/a	n/a	ITI
269.339	2.008	0.651	L	Faces
271.347	1.02	n/a	n/a	ITI
272.367	2.008	0.647	L	Faces
274.375	1.021	n/a	n/a	ITI
275.396	2.008	0.53	R	Faces
277.404	1.021	n/a	n/a	ITI
278.425	2.008	0.605	L	Faces
280.433	1.02	n/a	n/a	ITI
281.453	2.008	0.553	R	Faces
283.461	3.012	n/a	n/a	CueShapes
286.473	2.008	0.645	L	Shapes
288.481	1.055	n/a	n/a	ITI
289.536	2.008	0.494	R	Shapes
291.544	1.054	n/a	n/a	ITI
292.598	2.008	0.584	R	Shapes
294.606	1.054	n/a	n/a	ITI
295.66	2.008	0.577	L	Shapes
297.668	1.054	n/a	n/a	ITI
298.722	2.008	0.595	L	Shapes
300.73	1.054	n/a	n/a	ITI
301.784	2.008	0.589	L	Shapes
303.792	3.012	n/a	n/a	CueFaces
306.804	2.008	0.649	R	Faces
308.812	1.038	n/a	n/a	ITI
309.85	2.008	0.795	R	Faces
311.858	1.02	n/a	n/a	ITI
312.878	2.008	0.591	L	Faces
314.886	1.021	n/a	n/a	ITI
315.907	2.008	0.586	L	Faces
317.915	1.021	n/a	n/a	ITI
318.936	2.008	0.869	L	Faces
320.944	1.02	n/a	n/a	ITI
321.964	2.008	0.865	L	Faces
323.972	3.012	n/a	n/a	CueShapes
326.984	2.008	0.557	R	Shapes
328.992	1.055	n/a	n/a	ITI
330.047	2.008	0.59	L	Shapes
332.055	1.054	n/a	n/a	ITI
333.109	2.008	0.504	R	Shapes
335.117	1.054	n/a	n/a	ITI
336.171	2.008	0.458	R	Shapes
338.179	1.054	n/a	n/a	ITI
339.233	2.008	0.676	L	Shapes
341.241	1.054	n/a	n/a	ITI
342.295	2.008	0.55	R	Shapes
344.303	3.012	n/a	n/a	CueFaces
347.315	2.008	0.578	R	Faces
349.323	1.021	n/a	n/a	ITI
350.344	2.008	0.573	R	Faces
352.352	1.021	n/a	n/a	ITI
353.373	2.008	0.536	L	Faces
355.381	1.02	n/a	n/a	ITI
356.401	2.008	0.699	L	Faces
