onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	1.28	R	Shapes
5.02	1.054	n/a	n/a	ITI
6.074	2.008	0.426	L	Shapes
8.082	1.038	n/a	n/a	ITI
9.12	2.008	0.852	R	Shapes
11.128	1.054	n/a	n/a	ITI
12.182	2.008	0.902	L	Shapes
14.19	1.054	n/a	n/a	ITI
15.244	2.008	0.839	L	Shapes
17.252	1.054	n/a	n/a	ITI
18.306	2.008	1.145	R	Shapes
20.314	3.012	n/a	n/a	CueFaces
23.326	2.008	1.069	L	Faces
25.334	1.021	n/a	n/a	ITI
26.355	2.008	0.832	L	Faces
28.363	1.021	n/a	n/a	ITI
29.384	2.008	0.931	R	Faces
31.392	1.02	n/a	n/a	ITI
32.412	2.008	0.823	L	Faces
34.42	1.021	n/a	n/a	ITI
35.441	2.008	0.786	R	Faces
37.449	1.021	n/a	n/a	ITI
38.47	2.008	0.997	R	Faces
40.478	3.012	n/a	n/a	CueShapes
43.49	2.008	0.737	L	Shapes
45.498	1.054	n/a	n/a	ITI
46.552	2.008	0.707	L	Shapes
48.56	1.054	n/a	n/a	ITI
49.614	2.008	0.701	L	Shapes
51.622	1.054	n/a	n/a	ITI
52.676	2.008	0.879	R	Shapes
54.684	1.055	n/a	n/a	ITI
55.739	2.008	0.68	L	Shapes
57.747	1.054	n/a	n/a	ITI
58.801	2.008	0.906	R	Shapes
60.809	3.012	n/a	n/a	CueFaces
63.821	2.008	0.806	R	Faces
65.829	1.02	n/a	n/a	ITI
66.849	2.008	1.034	L	Faces
68.857	1.055	n/a	n/a	ITI
69.912	2.008	1.123	R	Faces
71.92	1.054	n/a	n/a	ITI
72.974	2.008	1.124	L	Faces
74.982	1.02	n/a	n/a	ITI
76.002	2.008	0.872	R	Faces
78.01	1.038	n/a	n/a	ITI
79.048	2.008	0.842	L	Faces
81.056	3.012	n/a	n/a	CueShapes
84.068	2.008	0.894	R	Shapes
86.076	1.054	n/a	n/a	ITI
87.13	2.008	0.72	L	Shapes
89.138	1.054	n/a	n/a	ITI
90.192	2.008	1.034	R	Shapes
92.2	1.088	n/a	n/a	ITI
93.288	2.008	0.626	R	Shapes
95.296	1.054	n/a	n/a	ITI
96.35	2.008	1.076	R	Shapes
98.358	1.054	n/a	n/a	ITI
99.412	2.008	0.614	L	Shapes
101.42	3.012	n/a	n/a	CueFaces
104.432	2.008	1.378	R	Faces
106.44	1.021	n/a	n/a	ITI
107.461	2.008	0.997	R	Faces
