onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	1.063	R	Shapes
5.02	1.054	n/a	n/a	ITI
6.074	2.008	0.745	R	Shapes
8.082	1.054	n/a	n/a	ITI
9.136	2.008	0.635	R	Shapes
11.144	1.038	n/a	n/a	ITI
12.182	2.008	0.717	L	Shapes
14.19	1.054	n/a	n/a	ITI
15.244	2.008	0.935	R	Shapes
17.252	1.054	n/a	n/a	ITI
18.306	2.008	0.737	R	Shapes
20.314	3.012	n/a	n/a	CueFaces
23.326	2.008	1.028	L	Faces
25.334	1.021	n/a	n/a	ITI
26.355	2.008	0.887	L	Faces
28.363	1.02	n/a	n/a	ITI
29.383	2.008	0.787	R	Faces
31.391	1.021	n/a	n/a	ITI
32.412	2.008	0.678	L	Faces
34.42	1.021	n/a	n/a	ITI
35.441	2.008	0.753	R	Faces
37.449	1.021	n/a	n/a	ITI
38.47	2.008	1.212	R	Faces
40.478	3.011	n/a	n/a	CueShapes
43.489	2.008	0.801	L	Shapes
45.497	1.055	n/a	n/a	ITI
46.552	2.008	0.626	L	Shapes
48.56	1.054	n/a	n/a	ITI
49.614	2.008	0.668	L	Shapes
51.622	1.054	n/a	n/a	ITI
52.676	2.008	0.91	R	Shapes
54.684	1.054	n/a	n/a	ITI
55.738	2.008	0.72	L	Shapes
57.746	1.054	n/a	n/a	ITI
58.8	2.008	0.858	R	Shapes
60.808	3.012	n/a	n/a	CueFaces
63.82	2.008	1.11	R	Faces
65.828	1.021	n/a	n/a	ITI
66.849	2.008	0.928	L	Faces
68.857	1.037	n/a	n/a	ITI
69.894	2.008	0.923	R	Faces
71.902	1.021	n/a	n/a	ITI
72.923	2.008	1.174	L	Faces
74.931	1.021	n/a	n/a	ITI
75.952	2.008	0.761	R	Faces
77.96	1.02	n/a	n/a	ITI
78.98	2.008	0.805	L	Faces
80.988	3.012	n/a	n/a	CueShapes
84.0	2.008	0.913	R	Shapes
86.008	1.055	n/a	n/a	ITI
87.063	2.008	0.634	L	Shapes
89.071	1.054	n/a	n/a	ITI
90.125	2.008	0.7	R	Shapes
92.133	1.054	n/a	n/a	ITI
93.187	2.008	0.694	R	Shapes
95.195	1.054	n/a	n/a	ITI
96.249	2.008	0.776	R	Shapes
98.257	1.054	n/a	n/a	ITI
99.311	2.008	0.666	L	Shapes
101.319	3.012	n/a	n/a	CueFaces
104.331	2.008	1.158	R	Faces
106.339	1.021	n/a	n/a	ITI
107.36	2.008	0.945	R	Faces
109.368	1.021	n/a	n/a	ITI
110.389	2.008	0.908	R	Faces
112.397	1.02	n/a	n/a	ITI
113.417	2.008	0.783	L	Faces
115.425	1.021	n/a	n/a	ITI
116.446	2.008	0.682	L	Faces
118.454	1.021	n/a	n/a	ITI
119.475	2.008	0.869	L	Faces
121.483	3.012	n/a	n/a	CueShapes
124.495	2.008	0.649	R	Shapes
126.503	1.054	n/a	n/a	ITI
127.557	2.008	0.563	L	Shapes
129.565	1.054	n/a	n/a	ITI
130.619	2.008	0.517	L	Shapes
132.627	1.054	n/a	n/a	ITI
133.681	2.008	0.647	L	Shapes
135.689	1.054	n/a	n/a	ITI
136.743	2.008	0.553	L	Shapes
138.751	1.054	n/a	n/a	ITI
139.805	2.008	0.499	L	Shapes
141.813	3.012	n/a	n/a	CueFaces
144.825	2.008	0.591	L	Faces
146.833	1.021	n/a	n/a	ITI
147.854	2.008	0.674	R	Faces
149.862	1.021	n/a	n/a	ITI
150.883	2.008	0.573	L	Faces
152.891	1.02	n/a	n/a	ITI
153.911	2.008	0.769	R	Faces
155.919	1.021	n/a	n/a	ITI
156.94	2.008	0.692	L	Faces
158.948	1.021	n/a	n/a	ITI
159.969	2.008	0.814	R	Faces
161.977	3.012	n/a	n/a	CueShapes
164.989	2.008	0.546	L	Shapes
166.997	1.054	n/a	n/a	ITI
168.051	2.008	0.788	R	Shapes
170.059	1.054	n/a	n/a	ITI
171.113	2.008	0.526	R	Shapes
173.121	1.054	n/a	n/a	ITI
174.175	2.008	0.584	L	Shapes
176.183	1.054	n/a	n/a	ITI
177.237	2.008	0.618	R	Shapes
179.245	1.055	n/a	n/a	ITI
180.3	2.008	0.515	R	Shapes
182.308	3.012	n/a	n/a	CueFaces
185.32	2.008	0.711	R	Faces
187.328	1.02	n/a	n/a	ITI
188.348	2.008	0.763	L	Faces
190.356	1.021	n/a	n/a	ITI
191.377	2.008	0.718	R	Faces
193.385	1.021	n/a	n/a	ITI
194.406	2.008	0.705	L	Faces
196.414	1.02	n/a	n/a	ITI
197.434	2.008	0.773	L	Faces
199.442	1.021	n/a	n/a	ITI
200.463	2.008	0.712	L	Faces
202.471	3.012	n/a	n/a	CueShapes
205.483	2.008	0.651	L	Shapes
207.491	1.054	n/a	n/a	ITI
208.545	2.008	0.709	R	Shapes
