onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	1.249	R	Shapes
5.02	1.054	n/a	n/a	ITI
6.074	2.008	0.931	R	Shapes
8.082	1.054	n/a	n/a	ITI
9.136	2.008	0.692	R	Shapes
11.144	1.054	n/a	n/a	ITI
12.198	2.008	0.702	L	Shapes
14.206	1.055	n/a	n/a	ITI
15.261	2.008	1.303	R	Shapes
17.269	1.055	n/a	n/a	ITI
18.324	2.008	0.785	R	Shapes
20.332	3.012	n/a	n/a	CueFaces
23.344	2.008	0.845	L	Faces
25.352	1.02	n/a	n/a	ITI
26.372	2.008	0.777	L	Faces
28.38	1.021	n/a	n/a	ITI
29.401	2.008	1.044	R	Faces
31.409	1.021	n/a	n/a	ITI
32.43	2.008	0.711	L	Faces
34.438	1.02	n/a	n/a	ITI
35.458	2.008	0.931	R	Faces
37.466	1.021	n/a	n/a	ITI
38.487	2.008	0.774	R	Faces
40.495	3.012	n/a	n/a	CueShapes
43.507	2.008	0.713	L	Shapes
45.515	1.054	n/a	n/a	ITI
46.569	2.008	0.731	L	Shapes
48.577	1.054	n/a	n/a	ITI
49.631	2.008	0.709	L	Shapes
51.639	1.054	n/a	n/a	ITI
52.693	2.008	0.535	R	Shapes
54.701	1.054	n/a	n/a	ITI
55.755	2.008	0.665	L	Shapes
57.763	1.055	n/a	n/a	ITI
58.818	2.008	0.674	R	Shapes
60.826	3.011	n/a	n/a	CueFaces
63.837	2.008	0.887	R	Faces
65.845	1.021	n/a	n/a	ITI
66.866	2.008	0.858	L	Faces
68.874	1.021	n/a	n/a	ITI
69.895	2.008	0.853	R	Faces
71.903	1.02	n/a	n/a	ITI
72.923	2.008	0.777	L	Faces
74.931	1.021	n/a	n/a	ITI
75.952	2.008	0.851	R	Faces
77.96	1.021	n/a	n/a	ITI
78.981	2.008	0.75	L	Faces
80.989	3.012	n/a	n/a	CueShapes
84.001	2.008	0.61	R	Shapes
86.009	1.054	n/a	n/a	ITI
87.063	2.008	0.676	L	Shapes
89.071	1.054	n/a	n/a	ITI
90.125	2.008	0.854	R	Shapes
92.133	1.054	n/a	n/a	ITI
93.187	2.008	0.576	R	Shapes
95.195	1.054	n/a	n/a	ITI
96.249	2.008	0.65	R	Shapes
98.257	1.054	n/a	n/a	ITI
99.311	2.008	0.716	L	Shapes
101.319	3.012	n/a	n/a	CueFaces
104.331	2.008	1.504	R	Faces
106.339	1.021	n/a	n/a	ITI
107.36	2.008	0.787	R	Faces
109.368	1.021	n/a	n/a	ITI
110.389	2.008	0.934	R	Faces
112.397	1.02	n/a	n/a	ITI
113.417	2.008	0.745	L	Faces
115.425	1.021	n/a	n/a	ITI
116.446	2.008	0.748	L	Faces
118.454	1.021	n/a	n/a	ITI
119.475	2.008	1.031	L	Faces
121.483	3.012	n/a	n/a	CueShapes
124.495	2.008	0.723	R	Shapes
126.503	1.054	n/a	n/a	ITI
127.557	2.008	0.637	L	Shapes
129.565	1.054	n/a	n/a	ITI
130.619	2.008	0.527	L	Shapes
132.627	1.054	n/a	n/a	ITI
133.681	2.008	0.513	L	Shapes
135.689	1.054	n/a	n/a	ITI
136.743	2.008	0.523	L	Shapes
138.751	1.054	n/a	n/a	ITI
139.805	2.008	0.837	L	Shapes
141.813	3.012	n/a	n/a	CueFaces
144.825	2.008	0.656	L	Faces
146.833	1.021	n/a	n/a	ITI
147.854	2.008	0.787	R	Faces
