onset	duration	response_time	button_pressed	trial_type
0.0	3.011	n/a	n/a	CueShapes
3.011	2.008	1.58	L	Shapes
5.019	1.054	n/a	n/a	ITI
6.073	2.008	1.214	L	Shapes
8.081	1.038	n/a	n/a	ITI
9.119	2.008	0.808	R	Shapes
11.127	1.054	n/a	n/a	ITI
12.181	2.008	0.665	L	Shapes
14.189	1.054	n/a	n/a	ITI
15.243	2.008	0.547	L	Shapes
17.251	1.054	n/a	n/a	ITI
18.305	2.008	0.565	R	Shapes
20.313	3.012	n/a	n/a	CueFaces
23.325	2.008	0.809	L	Faces
25.333	1.021	n/a	n/a	ITI
26.354	2.008	0.884	L	Faces
28.362	1.02	n/a	n/a	ITI
29.382	2.008	1.152	R	Faces
31.39	1.021	n/a	n/a	ITI
32.411	2.008	1.107	L	Faces
34.419	1.021	n/a	n/a	ITI
35.44	2.008	0.798	R	Faces
37.448	1.02	n/a	n/a	ITI
38.468	2.008	0.978	L	Faces
40.476	3.012	n/a	n/a	CueShapes
43.488	2.008	0.661	L	Shapes
45.496	1.038	n/a	n/a	ITI
46.534	2.008	0.607	L	Shapes
48.542	1.054	n/a	n/a	ITI
49.596	2.008	1.097	L	Shapes
51.604	1.054	n/a	n/a	ITI
52.658	2.008	0.675	L	Shapes
54.666	1.054	n/a	n/a	ITI
55.72	2.008	0.789	L	Shapes
57.728	1.054	n/a	n/a	ITI
58.782	2.008	0.879	R	Shapes
60.79	3.012	n/a	n/a	CueFaces
63.802	2.008	1.459	R	Faces
65.81	1.021	n/a	n/a	ITI
66.831	2.008	1.406	L	Faces
68.839	1.02	n/a	n/a	ITI
69.859	2.008	1.458	R	Faces
71.867	1.021	n/a	n/a	ITI
72.888	2.008	1.165	L	Faces
74.896	1.021	n/a	n/a	ITI
75.917	2.008	1.191	R	Faces
77.925	1.02	n/a	n/a	ITI
78.945	2.008	0.835	L	Faces
80.953	3.012	n/a	n/a	CueShapes
83.965	2.008	1.391	R	Shapes
85.973	1.054	n/a	n/a	ITI
87.027	2.008	0.577	L	Shapes
89.035	1.054	n/a	n/a	ITI
90.089	2.008	0.851	R	Shapes
92.097	1.055	n/a	n/a	ITI
93.152	2.008	0.612	R	Shapes
95.16	1.055	n/a	n/a	ITI
96.215	2.008	0.758	R	Shapes
98.223	1.054	n/a	n/a	ITI
99.277	2.008	0.624	L	Shapes
101.285	3.012	n/a	n/a	CueFaces
104.297	2.008	1.419	R	Faces
106.305	1.02	n/a	n/a	ITI
107.325	2.008	1.479	R	Faces
109.333	1.021	n/a	n/a	ITI
110.354	2.008	1.002	R	Faces
112.362	1.021	n/a	n/a	ITI
113.383	2.008	1.149	L	Faces
115.391	1.02	n/a	n/a	ITI
116.411	2.008	1.025	L	Faces
118.419	1.021	n/a	n/a	ITI
119.44	2.008	0.924	L	Faces
121.448	3.012	n/a	n/a	CueShapes
124.46	2.008	0.64	R	Shapes
126.468	1.054	n/a	n/a	ITI
127.522	2.008	0.754	L	Shapes
129.53	1.054	n/a	n/a	ITI
130.584	2.008	0.764	L	Shapes
132.592	1.054	n/a	n/a	ITI
133.646	2.008	0.501	L	Shapes
135.654	1.054	n/a	n/a	ITI
136.708	2.008	0.487	L	Shapes
