onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	0.805	R	Shapes
5.02	1.038	n/a	n/a	ITI
6.058	2.008	0.783	R	Shapes
8.066	1.054	n/a	n/a	ITI
9.12	2.008	0.937	R	Shapes
11.128	1.054	n/a	n/a	ITI
12.182	2.008	0.915	L	Shapes
14.19	1.054	n/a	n/a	ITI
15.244	2.008	0.829	R	Shapes
17.252	1.054	n/a	n/a	ITI
18.306	2.008	0.775	R	Shapes
20.314	3.012	n/a	n/a	CueFaces
23.326	2.008	0.731	L	Faces
25.334	1.021	n/a	n/a	ITI
26.355	2.008	0.766	L	Faces
28.363	1.021	n/a	n/a	ITI
29.384	2.008	0.761	R	Faces
31.392	1.02	n/a	n/a	ITI
32.412	2.008	0.941	L	Faces
34.42	1.021	n/a	n/a	ITI
35.441	2.008	1.015	R	Faces
37.449	1.021	n/a	n/a	ITI
38.47	2.008	0.802	R	Faces
40.478	3.012	n/a	n/a	CueShapes
43.49	2.008	1.158	L	Shapes
45.498	1.054	n/a	n/a	ITI
46.552	2.008	0.704	L	Shapes
48.56	1.054	n/a	n/a	ITI
49.614	2.008	0.762	L	Shapes
51.622	1.054	n/a	n/a	ITI
52.676	2.008	0.78	R	Shapes
54.684	1.054	n/a	n/a	ITI
55.738	2.008	0.83	L	Shapes
57.746	1.054	n/a	n/a	ITI
58.8	2.008	0.768	R	Shapes
60.808	3.012	n/a	n/a	CueFaces
63.82	2.008	0.748	R	Faces
65.828	1.021	n/a	n/a	ITI
66.849	2.008	1.102	L	Faces
68.857	1.02	n/a	n/a	ITI
69.877	2.008	0.938	R	Faces
71.885	1.021	n/a	n/a	ITI
72.906	2.008	0.845	L	Faces
74.914	1.021	n/a	n/a	ITI
75.935	2.008	0.792	R	Faces
77.943	1.021	n/a	n/a	ITI
78.964	2.008	0.819	L	Faces
80.972	3.012	n/a	n/a	CueShapes
83.984	2.008	0.624	R	Shapes
